dependents:c5
,freshness_DIV,c5_DIV,d5_DIV,subject_DIV,variety,balance,disparsity,impact_diversity,teamsize,age_mean,age_std,pnum_mean,pnum_std,cn_mean,cn_std,rank_mean,rank_std,num_of_refs,journal fixed,Year fixed,R2,# of Smaples
Model 1,16.5118(****),--,--,--,--,--,--,--,1.6588(****),0.1631(****),-0.2417(****),-0.0657(****),0.0194(*),0.0022(****),0.0001(*),-0.0006(****),0.0017(****),0.4178(****),False,False,0.21779012410706777,143508
Model 2,14.2832(****),--,--,--,--,--,--,--,1.9236(****),0.0918(****),-0.0931(***),-0.0632(****),0.0242(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(**),0.4117(****),True,False,0.18428904232243204,143508
Model 3,9.2039(****),--,--,--,--,--,--,--,1.1751(****),0.0590(***),-0.3031(****),-0.0954(****),0.0247(**),0.0023(****),0.0000(),-0.0010(****),0.0015(****),0.3718(****),False,True,0.16041036796119224,143508
Model 4,8.2673(****),--,--,--,--,--,--,--,1.5638(****),0.0231(),-0.1477(****),-0.0882(****),0.0305(***),0.0020(****),0.0000(),-0.0004(****),0.0004(*),0.3622(****),True,True,0.12290116812412855,143508
Model 5,--,0.7015(),--,--,--,--,--,--,1.7612(****),0.1722(****),-0.2356(****),-0.0577(****),0.0174(*),0.0022(****),0.0001(**),-0.0007(****),0.0017(****),0.4165(****),False,False,0.21549155451366397,143508
Model 6,--,1.2791(**),--,--,--,--,--,--,1.9980(****),0.0978(****),-0.0880(**),-0.0577(****),0.0229(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(**),0.4101(****),True,False,0.1824564101275592,143508
Model 7,--,-1.2001(**),--,--,--,--,--,--,1.1917(****),0.0577(***),-0.3022(****),-0.0930(****),0.0240(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3710(****),False,True,0.1597208580890257,143508
Model 8,--,0.0096(),--,--,--,--,--,--,1.5753(****),0.0219(),-0.1476(****),-0.0870(****),0.0300(***),0.0020(****),0.0000(),-0.0004(****),0.0004(*),0.3593(****),True,True,0.12224849319185027,143508
Model 9,--,--,-5.6714(****),--,--,--,--,--,1.6802(****),0.1768(****),-0.2401(****),-0.0638(****),0.0176(*),0.0022(****),0.0001(**),-0.0007(****),0.0018(****),0.4176(****),False,False,0.21710461374554846,143508
Model 10,--,--,-3.7515(****),--,--,--,--,--,1.9699(****),0.0993(****),-0.0879(**),-0.0597(****),0.0232(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4114(****),True,False,0.1831181219558442,143508
Model 11,--,--,-4.4377(****),--,--,--,--,--,1.1451(****),0.0639(***),-0.3053(****),-0.0970(****),0.0239(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3701(****),False,True,0.16074702452274348,143508
Model 12,--,--,-2.6037(****),--,--,--,--,--,1.5625(****),0.0239(),-0.1474(****),-0.0878(****),0.0302(***),0.0020(****),0.0000(),-0.0004(****),0.0004(**),0.3594(****),True,True,0.12262280542196591,143508
Model 13,--,--,--,-127.1331(****),--,--,--,--,1.7675(****),0.1816(****),-0.2400(****),-0.0584(****),0.0182(*),0.0022(****),0.0001(*),-0.0006(****),0.0017(****),0.4347(****),False,False,0.21446025601149343,142341
Model 14,--,--,--,-120.6435(****),--,--,--,--,2.0137(****),0.1042(****),-0.0885(**),-0.0575(****),0.0233(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4272(****),True,False,0.18127989057868865,142341
Model 15,--,--,--,-189.9176(****),--,--,--,--,1.1742(****),0.0657(***),-0.3108(****),-0.0951(****),0.0249(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3933(****),False,True,0.15994967094832446,142341
Model 16,--,--,--,-158.8626(****),--,--,--,--,1.5790(****),0.0274(),-0.1503(****),-0.0873(****),0.0305(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3778(****),True,True,0.12211133836822496,142341
Model 17,--,--,--,--,-17.4063(***),--,--,--,1.7700(****),0.1758(****),-0.2354(****),-0.0576(****),0.0177(*),0.0022(****),0.0001(**),-0.0006(****),0.0017(****),0.4285(****),False,False,0.21553658145851518,143508
Model 18,--,--,--,--,-18.7707(***),--,--,--,2.0134(****),0.1005(****),-0.0859(**),-0.0573(****),0.0230(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4237(****),True,False,0.18246003196502592,143508
Model 19,--,--,--,--,-51.7178(****),--,--,--,1.1796(****),0.0613(***),-0.3075(****),-0.0951(****),0.0247(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3983(****),False,True,0.16024277685720756,143508
Model 20,--,--,--,--,-44.0413(****),--,--,--,1.5807(****),0.0237(),-0.1483(****),-0.0873(****),0.0303(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3829(****),True,True,0.12261362118441599,143508
Model 21,--,--,--,--,--,-4.3253(**),--,--,1.7666(****),0.1737(****),-0.2350(****),-0.0575(****),0.0176(*),0.0022(****),0.0001(**),-0.0006(****),0.0017(****),0.4196(****),False,False,0.21552285078113442,143508
Model 22,--,--,--,--,--,-1.6884(),--,--,2.0048(****),0.0988(****),-0.0865(**),-0.0574(****),0.0230(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4134(****),True,False,0.18240521907646345,143508
Model 23,--,--,--,--,--,-3.4994(*),--,--,1.1921(****),0.0584(***),-0.3030(****),-0.0934(****),0.0239(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3702(****),False,True,0.1597040304475652,143508
Model 24,--,--,--,--,--,-0.0245(),--,--,1.5753(****),0.0219(),-0.1476(****),-0.0870(****),0.0300(***),0.0020(****),0.0000(),-0.0004(****),0.0004(*),0.3594(****),True,True,0.12224849127864079,143508
Model 25,--,--,--,--,--,--,-4.9744(),--,1.7743(****),0.1766(****),-0.2374(****),-0.0575(****),0.0176(*),0.0022(****),0.0001(*),-0.0007(****),0.0017(****),0.4186(****),False,False,0.21422000475978287,142341
Model 26,--,--,--,--,--,--,-6.2910(),--,2.0128(****),0.1014(****),-0.0881(**),-0.0574(****),0.0231(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4137(****),True,False,0.18110455547497006,142341
Model 27,--,--,--,--,--,--,-28.2575(****),--,1.1974(****),0.0611(***),-0.3057(****),-0.0939(****),0.0242(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3732(****),False,True,0.15955176457858666,142341
Model 28,--,--,--,--,--,--,-18.4217(***),--,1.5828(****),0.0244(),-0.1488(****),-0.0871(****),0.0303(***),0.0020(****),0.0000(),-0.0004(****),0.0004(*),0.3617(****),True,True,0.12184381187182092,142341
Model 29,--,--,--,--,--,--,--,-1.6185(**),1.7617(****),0.1751(****),-0.2345(****),-0.0572(****),0.0176(*),0.0022(****),0.0001(**),-0.0006(****),0.0017(****),0.4192(****),False,False,0.21551778137910949,143508
Model 30,--,--,--,--,--,--,--,1.3071(*),2.0050(****),0.0969(****),-0.0871(**),-0.0574(****),0.0230(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4123(****),True,False,0.1824254421785222,143508
Model 31,--,--,--,--,--,--,--,-1.6762(**),1.1869(****),0.0596(***),-0.3028(****),-0.0930(****),0.0240(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3701(****),False,True,0.15971873536813797,143508
Model 32,--,--,--,--,--,--,--,1.0073(),1.5767(****),0.0211(),-0.1477(****),-0.0870(****),0.0300(***),0.0020(****),0.0000(),-0.0004(****),0.0004(*),0.3589(****),True,True,0.12226566248601001,143508
Model 33,16.8651(****),-0.9342(*),--,--,--,--,--,--,1.6617(****),0.1637(****),-0.2409(****),-0.0654(****),0.0195(*),0.0022(****),0.0001(*),-0.0006(****),0.0017(****),0.4197(****),False,False,0.2178179572668676,143508
Model 34,14.3149(****),-0.0866(),--,--,--,--,--,--,1.9239(****),0.0918(****),-0.0930(***),-0.0632(****),0.0242(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(**),0.4119(****),True,False,0.18428930016061607,143508
Model 35,9.9171(****),-2.0560(****),--,--,--,--,--,--,1.1747(****),0.0587(***),-0.3021(****),-0.0949(****),0.0252(**),0.0023(****),0.0000(),-0.0010(****),0.0015(****),0.3756(****),False,True,0.1605543512977592,143508
Model 36,8.5077(****),-0.7129(),--,--,--,--,--,--,1.5642(****),0.0229(),-0.1473(****),-0.0882(****),0.0306(***),0.0020(****),0.0000(),-0.0004(****),0.0004(*),0.3636(****),True,True,0.12291988638265539,143508
Model 37,17.4086(****),--,-6.1003(****),--,--,--,--,--,1.5617(****),0.1668(****),-0.2478(****),-0.0730(****),0.0196(*),0.0022(****),0.0001(*),-0.0007(****),0.0018(****),0.4173(****),False,False,0.21966843279873205,143508
Model 38,15.0975(****),--,-4.2729(****),--,--,--,--,--,1.8791(****),0.0923(****),-0.0950(***),-0.0662(****),0.0246(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4099(****),True,False,0.18521687517489427,143508
Model 39,10.2607(****),--,-4.7987(****),--,--,--,--,--,1.1234(****),0.0655(***),-0.3059(****),-0.0996(****),0.0250(**),0.0023(****),0.0000(),-0.0010(****),0.0016(****),0.3735(****),False,True,0.16165968601475533,143508
Model 40,9.0662(****),--,-3.0187(****),--,--,--,--,--,1.5478(****),0.0255(),-0.1474(****),-0.0893(****),0.0307(***),0.0020(****),0.0000(),-0.0004(****),0.0004(**),0.3625(****),True,True,0.12339820871631013,143508
Model 41,17.5825(****),--,--,-142.9296(****),--,--,--,--,1.6595(****),0.1720(****),-0.2462(****),-0.0672(****),0.0203(*),0.0022(****),0.0001(*),-0.0006(****),0.0017(****),0.4378(****),False,False,0.21692814605769117,142341
Model 42,15.1597(****),--,--,-144.7937(****),--,--,--,--,1.9317(****),0.0978(****),-0.0945(***),-0.0638(****),0.0246(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4299(****),True,False,0.18328138734183907,142341
Model 43,10.0361(****),--,--,-195.6729(****),--,--,--,--,1.1567(****),0.0665(****),-0.3108(****),-0.0974(****),0.0260(**),0.0023(****),0.0000(),-0.0010(****),0.0015(****),0.3977(****),False,True,0.16077794591140815,142341
Model 44,8.9259(****),--,--,-171.0170(****),--,--,--,--,1.5666(****),0.0285(),-0.1501(****),-0.0887(****),0.0311(***),0.0020(****),0.0000(),-0.0004(****),0.0004(**),0.3827(****),True,True,0.122827095930239,142341
