dependents:c5
,freshness_DIV,c5_DIV,d5_DIV,subject_DIV,variety,balance,disparsity,impact_diversity,teamsize,age_mean,age_std,pnum_mean,pnum_std,cn_mean,cn_std,rank_mean,rank_std,num_of_refs,journal fixed,Year fixed,R2,# of Smaples
Model 45,16.8324(****),--,--,--,-26.0849(****),--,--,--,1.6640(****),0.1673(****),-0.2428(****),-0.0662(****),0.0198(*),0.0022(****),0.0001(*),-0.0006(****),0.0017(****),0.4336(****),False,False,0.2179269586772804,143508
Model 46,14.7156(****),--,--,--,-29.9754(****),--,--,--,1.9346(****),0.0947(****),-0.0923(***),-0.0632(****),0.0244(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4287(****),True,False,0.18444510605507713,143508
Model 47,9.6083(****),--,--,--,-54.6215(****),--,--,--,1.1621(****),0.0626(***),-0.3081(****),-0.0973(****),0.0258(**),0.0023(****),0.0000(),-0.0010(****),0.0015(****),0.4031(****),False,True,0.1610475234122425,143508
Model 48,8.8194(****),--,--,--,-49.0750(****),--,--,--,1.5690(****),0.0251(),-0.1484(****),-0.0886(****),0.0309(***),0.0020(****),0.0000(),-0.0004(****),0.0004(**),0.3887(****),True,True,0.1233516220836608,143508
Model 49,17.2144(****),--,--,--,--,-8.8746(****),--,--,1.6574(****),0.1644(****),-0.2424(****),-0.0664(****),0.0198(*),0.0022(****),0.0001(*),-0.0006(****),0.0017(****),0.4211(****),False,False,0.21798626606766625,143508
Model 50,14.8380(****),--,--,--,--,-6.4571(****),--,--,1.9201(****),0.0925(****),-0.0934(***),-0.0636(****),0.0243(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(**),0.4133(****),True,False,0.18438950905560159,143508
Model 51,9.7245(****),--,--,--,--,-6.1214(****),--,--,1.1757(****),0.0599(***),-0.3036(****),-0.0957(****),0.0251(**),0.0023(****),0.0000(),-0.0010(****),0.0015(****),0.3743(****),False,True,0.1605112639865116,143508
Model 52,8.5333(****),--,--,--,--,-2.8491(),--,--,1.5635(****),0.0235(),-0.1477(****),-0.0883(****),0.0306(***),0.0020(****),0.0000(),-0.0004(****),0.0004(*),0.3630(****),True,True,0.12292235921671135,143508
Model 53,17.4953(****),--,--,--,--,--,-12.5636(*),--,1.6722(****),0.1673(****),-0.2430(****),-0.0662(****),0.0197(*),0.0022(****),0.0001(*),-0.0006(****),0.0017(****),0.4210(****),False,False,0.21665395495127848,142341
Model 54,15.0790(****),--,--,--,--,--,-15.9075(**),--,1.9357(****),0.0951(****),-0.0932(***),-0.0635(****),0.0244(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(**),0.4151(****),True,False,0.1830719355627194,142341
Model 55,10.0797(****),--,--,--,--,--,-31.1889(****),--,1.1808(****),0.0618(***),-0.3056(****),-0.0962(****),0.0254(**),0.0023(****),0.0000(),-0.0010(****),0.0015(****),0.3774(****),False,True,0.16038571795328582,142341
Model 56,8.8747(****),--,--,--,--,--,-22.9734(****),--,1.5715(****),0.0253(),-0.1483(****),-0.0884(****),0.0309(***),0.0020(****),0.0000(),-0.0004(****),0.0004(**),0.3658(****),True,True,0.12254857463409063,142341
Model 57,17.3077(****),--,--,--,--,--,--,-3.6129(****),1.6461(****),0.1675(****),-0.2414(****),-0.0657(****),0.0197(*),0.0022(****),0.0001(*),-0.0006(****),0.0017(****),0.4204(****),False,False,0.21799661434713502,143508
Model 58,14.3923(****),--,--,--,--,--,--,-0.5035(),1.9229(****),0.0924(****),-0.0929(***),-0.0633(****),0.0242(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(**),0.4120(****),True,False,0.1842929810090248,143508
Model 59,9.8958(****),--,--,--,--,--,--,-2.8805(****),1.1665(****),0.0618(***),-0.3033(****),-0.0950(****),0.0251(**),0.0023(****),0.0000(),-0.0010(****),0.0015(****),0.3741(****),False,True,0.16054926426973248,143508
Model 60,8.2745(****),--,--,--,--,--,--,-0.0325(),1.5638(****),0.0231(),-0.1477(****),-0.0882(****),0.0305(***),0.0020(****),0.0000(),-0.0004(****),0.0004(*),0.3622(****),True,True,0.12290118549418083,143508
Model 61,--,2.8816(****),-6.3209(****),--,--,--,--,--,1.6544(****),0.1747(****),-0.2439(****),-0.0659(****),0.0173(*),0.0022(****),0.0001(**),-0.0007(****),0.0018(****),0.4116(****),False,False,0.21735813773462043,143508
Model 62,--,2.9287(****),-4.4990(****),--,--,--,--,--,1.9472(****),0.0977(****),-0.0915(**),-0.0609(****),0.0231(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4045(****),True,False,0.1833949540085117,143508
Model 63,--,0.4402(),-4.5398(****),--,--,--,--,--,1.1439(****),0.0641(***),-0.3056(****),-0.0972(****),0.0238(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3694(****),False,True,0.16075325923299533,143508
Model 64,--,1.1232(**),-2.9000(****),--,--,--,--,--,1.5599(****),0.0244(),-0.1480(****),-0.0880(****),0.0300(***),0.0020(****),0.0000(),-0.0004(****),0.0004(**),0.3574(****),True,True,0.12266580056451915,143508
Model 65,--,1.3369(**),--,-140.6786(****),--,--,--,--,1.7606(****),0.1810(****),-0.2415(****),-0.0591(****),0.0181(*),0.0022(****),0.0001(*),-0.0007(****),0.0017(****),0.4339(****),False,False,0.21451330790318868,142341
Model 66,--,1.8682(****),--,-143.6540(****),--,--,--,--,2.0054(****),0.1038(****),-0.0904(**),-0.0580(****),0.0232(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4261(****),True,False,0.18139079498982214,142341
Model 67,--,-0.3442(),--,-186.6400(****),--,--,--,--,1.1746(****),0.0656(***),-0.3106(****),-0.0950(****),0.0250(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3934(****),False,True,0.15995343803301165,142341
Model 68,--,0.7150(),--,-167.4110(****),--,--,--,--,1.5782(****),0.0277(),-0.1506(****),-0.0874(****),0.0304(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3775(****),True,True,0.12212874511904803,142341
Model 69,--,1.1346(**),--,--,-21.1983(****),--,--,--,1.7647(****),0.1755(****),-0.2367(****),-0.0582(****),0.0176(*),0.0022(****),0.0001(**),-0.0006(****),0.0017(****),0.4285(****),False,False,0.21557628978921417,143508
Model 70,--,1.7874(****),--,--,-25.8864(****),--,--,--,2.0070(****),0.1001(****),-0.0877(**),-0.0576(****),0.0229(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4237(****),True,False,0.1825648933306706,143508
Model 71,--,-0.2443(),--,--,-50.9662(****),--,--,--,1.1799(****),0.0612(***),-0.3073(****),-0.0950(****),0.0247(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3983(****),False,True,0.16024475107354264,143508
Model 72,--,0.9034(*),--,--,-47.4674(****),--,--,--,1.5801(****),0.0241(),-0.1488(****),-0.0874(****),0.0302(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3831(****),True,True,0.1226423555223296,143508
Model 73,--,1.0447(*),--,--,--,-5.2194(***),--,--,1.7611(****),0.1730(****),-0.2362(****),-0.0581(****),0.0175(*),0.0022(****),0.0001(**),-0.0006(****),0.0017(****),0.4178(****),False,False,0.21555694932368563,143508
Model 74,--,1.4822(***),--,--,--,-3.0891(*),--,--,1.9968(****),0.0981(****),-0.0882(**),-0.0578(****),0.0229(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4104(****),True,False,0.18247858685308538,143508
Model 75,--,-1.0275(*),--,--,--,-2.6448(),--,--,1.1923(****),0.0581(***),-0.3024(****),-0.0931(****),0.0241(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3717(****),False,True,0.1597390884223071,143508
Model 76,--,0.0120(),--,--,--,-0.0357(),--,--,1.5753(****),0.0219(),-0.1476(****),-0.0870(****),0.0300(***),0.0020(****),0.0000(),-0.0004(****),0.0004(*),0.3593(****),True,True,0.12224849641234659,143508
Model 77,--,0.7505(),--,--,--,--,-6.6273(),--,1.7717(****),0.1762(****),-0.2380(****),-0.0579(****),0.0175(*),0.0022(****),0.0001(**),-0.0007(****),0.0017(****),0.4174(****),False,False,0.21423697062387081,142341
Model 78,--,1.3571(**),--,--,--,--,-9.6215(),--,2.0080(****),0.1009(****),-0.0891(**),-0.0577(****),0.0230(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4114(****),True,False,0.1811641949867373,142341
Model 79,--,-0.8422(*),--,--,--,--,-26.6169(****),--,1.1974(****),0.0610(***),-0.3053(****),-0.0936(****),0.0244(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3743(****),False,True,0.15957471983344496,142341
Model 80,--,0.2271(),--,--,--,--,-18.9331(***),--,1.5827(****),0.0245(),-0.1488(****),-0.0871(****),0.0302(***),0.0020(****),0.0000(),-0.0004(****),0.0004(*),0.3613(****),True,True,0.12184560820153612,142341
Model 81,--,1.2117(**),--,--,--,--,--,-2.1934(***),1.7537(****),0.1748(****),-0.2357(****),-0.0577(****),0.0175(*),0.0022(****),0.0001(**),-0.0006(****),0.0017(****),0.4171(****),False,False,0.21556102532455867,143508
Model 82,--,1.1116(**),--,--,--,--,--,0.7631(),1.9990(****),0.0969(****),-0.0881(**),-0.0576(****),0.0229(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(**),0.4100(****),True,False,0.1824647125194664,143508
Model 83,--,-0.9164(*),--,--,--,--,--,-1.2540(*),1.1884(****),0.0590(***),-0.3024(****),-0.0928(****),0.0241(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3714(****),False,True,0.15974514990274835,143508
Model 84,--,-0.2245(),--,--,--,--,--,1.1131(),1.5770(****),0.0209(),-0.1476(****),-0.0870(****),0.0300(***),0.0020(****),0.0000(),-0.0004(****),0.0004(*),0.3593(****),True,True,0.12226738470315257,143508
Model 85,--,--,-5.6069(****),-90.6288(****),--,--,--,--,1.6816(****),0.1838(****),-0.2452(****),-0.0646(****),0.0181(*),0.0022(****),0.0001(*),-0.0007(****),0.0018(****),0.4290(****),False,False,0.21601242956591893,142341
Model 86,--,--,-3.7450(****),-101.2077(****),--,--,--,--,1.9766(****),0.1044(****),-0.0902(**),-0.0599(****),0.0235(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4230(****),True,False,0.1819810987337971,142341
Model 87,--,--,-4.1326(****),-161.2560(****),--,--,--,--,1.1337(****),0.0707(****),-0.3127(****),-0.0983(****),0.0249(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3905(****),False,True,0.16085672791118466,142341
Model 88,--,--,-2.4716(****),-145.3414(****),--,--,--,--,1.5667(****),0.0291(),-0.1501(****),-0.0881(****),0.0306(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3761(****),True,True,0.12244008496894065,142341
Model 89,--,--,-5.6247(****),--,-5.5328(),--,--,--,1.6824(****),0.1777(****),-0.2402(****),-0.0638(****),0.0176(*),0.0022(****),0.0001(**),-0.0007(****),0.0018(****),0.4209(****),False,False,0.21711069887082324,143508
Model 90,--,--,-3.6795(****),--,-12.6875(*),--,--,--,1.9763(****),0.1006(****),-0.0874(**),-0.0596(****),0.0232(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4187(****),True,False,0.18314612647192974,143508
Model 91,--,--,-4.0463(****),--,-42.1121(****),--,--,--,1.1397(****),0.0661(****),-0.3090(****),-0.0981(****),0.0247(**),0.0023(****),0.0000(),-0.0011(****),0.0016(****),0.3940(****),False,True,0.16111823241139878,143508
Model 92,--,--,-2.3499(****),--,-39.6260(****),--,--,--,1.5686(****),0.0253(),-0.1480(****),-0.0880(****),0.0304(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3806(****),True,True,0.12291483625182753,143508
Model 93,--,--,-5.6306(****),--,--,-2.4918(),--,--,1.6817(****),0.1773(****),-0.2401(****),-0.0638(****),0.0176(*),0.0022(****),0.0001(**),-0.0007(****),0.0018(****),0.4185(****),False,False,0.21712032313054241,143508
Model 94,--,--,-3.7514(****),--,--,-0.0061(),--,--,1.9699(****),0.0993(****),-0.0879(**),-0.0597(****),0.0232(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4114(****),True,False,0.18311812204827194,143508
Model 95,--,--,-4.4042(****),--,--,-2.1250(),--,--,1.1460(****),0.0641(***),-0.3055(****),-0.0970(****),0.0240(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3709(****),False,True,0.16075940740178019,143508
Model 96,--,--,-2.6272(****),--,--,1.1111(),--,--,1.5624(****),0.0238(),-0.1474(****),-0.0878(****),0.0301(***),0.0020(****),0.0000(),-0.0004(****),0.0004(**),0.3591(****),True,True,0.12262610077120761,143508
Model 97,--,--,-5.7901(****),--,--,--,0.8039(),--,1.6808(****),0.1798(****),-0.2437(****),-0.0642(****),0.0177(*),0.0022(****),0.0001(*),-0.0007(****),0.0018(****),0.4166(****),False,False,0.21588919948109997,142341
Model 98,--,--,-3.8659(****),--,--,--,-2.8558(),--,1.9733(****),0.1018(****),-0.0901(**),-0.0598(****),0.0234(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4111(****),True,False,0.18185428677581017,142341
Model 99,--,--,-4.3498(****),--,--,--,-23.1045(****),--,1.1510(****),0.0671(****),-0.3085(****),-0.0974(****),0.0243(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3734(****),False,True,0.16056513931473881,142341
Model 100,--,--,-2.6021(****),--,--,--,-15.6790(**),--,1.5693(****),0.0265(),-0.1488(****),-0.0879(****),0.0304(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3611(****),True,True,0.12220921687619213,142341
Model 101,--,--,-5.6351(****),--,--,--,--,-0.6783(),1.6793(****),0.1777(****),-0.2399(****),-0.0636(****),0.0176(*),0.0022(****),0.0001(**),-0.0007(****),0.0018(****),0.4181(****),False,False,0.21711201509432465,143508
Model 102,--,--,-3.8722(****),--,--,--,--,2.0405(***),1.9689(****),0.0967(****),-0.0888(**),-0.0597(****),0.0232(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4103(****),True,False,0.1831838751876108,143508
Model 103,--,--,-4.3887(****),--,--,--,--,-0.9833(),1.1431(****),0.0648(***),-0.3054(****),-0.0967(****),0.0240(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3708(****),False,True,0.16076356756369226,143508
Model 104,--,--,-2.6922(****),--,--,--,--,1.5186(*),1.5641(****),0.0227(),-0.1476(****),-0.0879(****),0.0301(***),0.0020(****),0.0000(),-0.0004(****),0.0004(**),0.3588(****),True,True,0.12266140740978793,143508
Model 105,--,--,--,-465.5172(****),100.5735(****),--,--,--,1.7321(****),0.1793(****),-0.2421(****),-0.0592(****),0.0184(*),0.0022(****),0.0001(*),-0.0006(****),0.0017(****),0.4198(****),False,False,0.21474775544372027,142341
Model 106,--,--,--,-298.4086(****),52.8912(***),--,--,--,1.9972(****),0.1036(****),-0.0900(**),-0.0581(****),0.0233(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4190(****),True,False,0.1813643458885874,142341
Model 107,--,--,--,-116.2625(*),-22.0591(),--,--,--,1.1765(****),0.0653(***),-0.3108(****),-0.0952(****),0.0249(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3962(****),False,True,0.15996408332788392,142341
Model 108,--,--,--,-41.1052(),-35.1913(*),--,--,--,1.5832(****),0.0267(),-0.1502(****),-0.0874(****),0.0305(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3826(****),True,True,0.12215079161947906,142341
Model 109,--,--,--,-140.8669(****),--,1.8380(),--,--,1.7668(****),0.1818(****),-0.2401(****),-0.0584(****),0.0182(*),0.0022(****),0.0001(*),-0.0006(****),0.0017(****),0.4359(****),False,False,0.21446533823879643,142341
Model 110,--,--,--,-147.0905(****),--,3.5852(),--,--,2.0153(****),0.1045(****),-0.0884(**),-0.0575(****),0.0233(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4297(****),True,False,0.18130006129216547,142341
Model 111,--,--,--,-255.5230(****),--,8.7427(****),--,--,1.1658(****),0.0661(***),-0.3118(****),-0.0955(****),0.0250(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3987(****),False,True,0.16007414609844028,142341
Model 112,--,--,--,-225.5954(****),--,9.0217(****),--,--,1.5790(****),0.0273(),-0.1505(****),-0.0874(****),0.0305(***),0.0020(****),0.0000(),-0.0005(****),0.0004(**),0.3834(****),True,True,0.1222499298834997,142341
Model 113,--,--,--,-142.1704(****),--,--,9.6469(),--,1.7608(****),0.1811(****),-0.2408(****),-0.0585(****),0.0182(*),0.0022(****),0.0001(*),-0.0007(****),0.0017(****),0.4349(****),False,False,0.2144782797169248,142341
Model 114,--,--,--,-124.2603(****),--,--,2.8526(),--,2.0122(****),0.1041(****),-0.0888(**),-0.0576(****),0.0233(**),0.0019(****),0.0001(**),-0.0002(**),0.0005(***),0.4272(****),True,False,0.18128149729049237,142341
Model 115,--,--,--,-173.9597(****),--,--,-10.6879(*),--,1.1774(****),0.0654(***),-0.3104(****),-0.0951(****),0.0250(**),0.0023(****),0.0000(),-0.0011(****),0.0015(****),0.3929(****),False,True,0.15997318760936918,142341
