dependents:d5
,freshness_DIV,c5_DIV,d5_DIV,subject_DIV,variety,balance,disparsity,impact_diversity,teamsize,age_mean,age_std,pnum_mean,pnum_std,cn_mean,cn_std,rank_mean,rank_std,num_of_refs,journal fixed,Year fixed,R2,# of Smaples
Model 1,-0.1120(****),--,--,--,--,--,--,--,-0.0003(),0.0001(***),-0.0002(**),-0.0000(),0.0000(),-0.0000(),0.0000(*),0.0000(****),-0.0000(**),-0.0001(****),False,False,0.03308582448490227,143508
Model 2,-0.1104(****),--,--,--,--,--,--,--,-0.0001(),0.0001(*),-0.0001(),0.0000(),0.0000(),-0.0000(*),0.0000(*),0.0000(*),-0.0000(*),-0.0002(****),True,False,0.032363123127875815,143508
Model 3,-0.1134(****),--,--,--,--,--,--,--,-0.0003(),0.0002(****),-0.0002(**),-0.0000(),0.0000(),0.0000(),0.0000(),0.0000(****),-0.0000(**),-0.0001(****),False,True,0.030132643913561186,143508
Model 4,-0.1115(****),--,--,--,--,--,--,--,-0.0001(),0.0001(**),-0.0001(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(*),-0.0002(****),True,True,0.028679362757830118,143508
Model 5,--,-0.0671(****),--,--,--,--,--,--,-0.0006(**),0.0001(***),-0.0002(**),-0.0000(*),0.0000(*),-0.0000(*),0.0000(),0.0000(****),-0.0000(**),0.0000(),False,False,0.04422165842463366,143508
Model 6,--,-0.0644(****),--,--,--,--,--,--,-0.0004(),0.0001(*),-0.0001(),-0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(),-0.0000(),-0.0000(***),True,False,0.040579476249733126,143508
Model 7,--,-0.0643(****),--,--,--,--,--,--,-0.0005(*),0.0002(****),-0.0002(*),-0.0000(*),0.0000(*),-0.0000(*),0.0000(),0.0000(****),-0.0000(**),0.0000(),False,True,0.038188563823121635,143508
Model 8,--,-0.0617(****),--,--,--,--,--,--,-0.0002(),0.0001(**),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(),-0.0000(*),True,True,0.034370863549227026,143508
Model 9,--,--,-0.0222(****),--,--,--,--,--,-0.0014(****),0.0001(*),-0.0003(****),-0.0001(****),0.0000(*),-0.0000(),0.0000(),0.0000(****),-0.0000(**),-0.0001(****),False,False,0.011641993792623206,143508
Model 10,--,--,-0.0288(****),--,--,--,--,--,-0.0010(****),0.0000(),-0.0002(**),-0.0000(*),0.0000(),-0.0000(*),0.0000(),0.0000(),-0.0000(*),-0.0002(****),True,False,0.015589416139869638,143508
Model 11,--,--,-0.0219(****),--,--,--,--,--,-0.0007(**),0.0002(****),-0.0002(**),-0.0001(****),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(),-0.0001(****),False,True,0.009122792628225018,143508
Model 12,--,--,-0.0291(****),--,--,--,--,--,-0.0004(),0.0001(****),-0.0001(),-0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(),-0.0000(),-0.0001(****),True,True,0.012675460708634678,143508
Model 13,--,--,--,-0.3540(****),--,--,--,--,-0.0008(****),0.0001(***),-0.0002(**),-0.0001(***),0.0000(),-0.0000(*),0.0000(),0.0000(****),-0.0000(**),-0.0000(****),False,False,0.0038391817854108723,142341
Model 14,--,--,--,-0.9591(****),--,--,--,--,-0.0006(**),0.0001(**),-0.0001(*),-0.0000(),0.0000(),-0.0000(**),0.0000(),0.0000(),-0.0000(),-0.0000(),True,False,0.0072814374811179805,142341
Model 15,--,--,--,-0.2971(****),--,--,--,--,-0.0005(*),0.0002(****),-0.0001(**),-0.0000(***),0.0000(),-0.0000(*),0.0000(),0.0000(****),-0.0000(*),-0.0000(****),False,True,0.0024589106883290412,142341
Model 16,--,--,--,-0.9346(****),--,--,--,--,-0.0004(),0.0001(****),-0.0001(),-0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(),-0.0000(),0.0000(),True,True,0.005365215670607437,142341
Model 17,--,--,--,--,-0.2127(****),--,--,--,-0.0010(****),0.0001(**),-0.0002(****),-0.0001(****),0.0000(*),-0.0000(*),0.0000(),0.0000(****),-0.0000(**),-0.0000(),False,False,0.007515391789440384,143508
Model 18,--,--,--,--,-0.4084(****),--,--,--,-0.0005(*),0.0001(*),-0.0002(*),-0.0000(),0.0000(),-0.0000(**),0.0000(),0.0000(),-0.0000(),0.0001(****),True,False,0.012425121441110631,143508
Model 19,--,--,--,--,-0.1782(****),--,--,--,-0.0005(*),0.0002(****),-0.0002(**),-0.0001(***),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),-0.0000(),False,True,0.004355847180042893,143508
Model 20,--,--,--,--,-0.3912(****),--,--,--,-0.0002(),0.0001(***),-0.0001(),-0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(),-0.0000(),0.0001(****),True,True,0.00872963420326589,143508
Model 21,--,--,--,--,--,-0.1547(****),--,--,-0.0010(****),0.0001(**),-0.0002(****),-0.0001(****),0.0000(*),-0.0000(*),0.0000(),0.0000(****),-0.0000(***),-0.0001(****),False,False,0.021079238345752982,143508
Model 22,--,--,--,--,--,-0.1969(****),--,--,-0.0007(**),0.0001(),-0.0002(**),-0.0000(),0.0000(),-0.0000(**),0.0000(),0.0000(),-0.0000(*),-0.0001(****),True,False,0.028339035192876727,143508
Model 23,--,--,--,--,--,-0.1487(****),--,--,-0.0004(),0.0002(****),-0.0002(**),-0.0001(***),0.0000(),-0.0000(*),0.0000(),0.0000(****),-0.0000(**),-0.0001(****),False,True,0.01757319877796204,143508
Model 24,--,--,--,--,--,-0.1925(****),--,--,-0.0003(),0.0001(****),-0.0001(),-0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(),-0.0000(),-0.0001(****),True,True,0.02448588974377386,143508
Model 25,--,--,--,--,--,--,-0.0177(),--,-0.0008(****),0.0001(**),-0.0002(**),-0.0000(***),0.0000(),-0.0000(*),0.0000(),0.0000(****),-0.0000(**),-0.0001(****),False,False,0.003190947633575081,142341
Model 26,--,--,--,--,--,--,-0.1018(****),--,-0.0005(**),0.0001(*),-0.0001(),-0.0000(),0.0000(),-0.0000(**),0.0000(*),0.0000(*),-0.0000(),-0.0001(****),True,False,0.004291003570059848,142341
Model 27,--,--,--,--,--,--,0.0135(),--,-0.0005(*),0.0001(****),-0.0001(*),-0.0000(**),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),-0.0001(****),False,True,0.001999537430998455,142341
Model 28,--,--,--,--,--,--,-0.0770(****),--,-0.0003(),0.0001(***),-0.0001(),-0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(*),-0.0000(),-0.0001(****),True,True,0.0022253730297286944,142341
Model 29,--,--,--,--,--,--,--,-0.0529(****),-0.0011(****),0.0001(****),-0.0002(***),-0.0001(***),0.0000(*),-0.0000(*),0.0000(),0.0000(****),-0.0000(****),-0.0001(****),False,False,0.01701412120837764,143508
Model 30,--,--,--,--,--,--,--,-0.0622(****),-0.0007(**),0.0001(**),-0.0001(*),-0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(*),-0.0000(*),-0.0001(****),True,False,0.020168140551634406,143508
Model 31,--,--,--,--,--,--,--,-0.0491(****),-0.0006(**),0.0002(****),-0.0002(**),-0.0000(**),0.0000(),-0.0000(*),0.0000(),0.0000(****),-0.0000(***),-0.0001(****),False,True,0.01285310294722275,143508
Model 32,--,--,--,--,--,--,--,-0.0577(****),-0.0004(),0.0002(****),-0.0001(),-0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(*),-0.0000(*),-0.0001(****),True,True,0.014856466200380503,143508
Model 33,-0.0900(****),-0.0584(****),--,--,--,--,--,--,-0.0001(),0.0002(****),-0.0001(*),0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(****),-0.0000(**),-0.0000(),False,False,0.06159734597092881,143508
