dependents:d5
,freshness_DIV,c5_DIV,d5_DIV,subject_DIV,variety,balance,disparsity,impact_diversity,teamsize,age_mean,age_std,pnum_mean,pnum_std,cn_mean,cn_std,rank_mean,rank_std,num_of_refs,journal fixed,Year fixed,R2,# of Smaples
Model 34,-0.0900(****),-0.0558(****),--,--,--,--,--,--,0.0001(),0.0001(**),-0.0001(),0.0000(*),0.0000(),-0.0000(*),0.0000(),0.0000(),-0.0000(),-0.0000(****),True,False,0.057825342382399114,143508
Model 35,-0.0939(****),-0.0562(****),--,--,--,--,--,--,-0.0003(),0.0001(****),-0.0002(*),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(**),-0.0000(****),False,True,0.0564367015150139,143508
Model 36,-0.0934(****),-0.0538(****),--,--,--,--,--,--,-0.0001(),0.0001(**),-0.0001(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(),-0.0001(****),True,True,0.052311437558115514,143508
Model 37,-0.1092(****),--,-0.0195(****),--,--,--,--,--,-0.0006(**),0.0002(****),-0.0002(***),-0.0000(*),0.0000(),-0.0000(),0.0000(*),0.0000(****),-0.0000(*),-0.0001(****),False,False,0.03810760147332393,143508
Model 38,-0.1056(****),--,-0.0252(****),--,--,--,--,--,-0.0003(),0.0001(*),-0.0001(*),0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(),-0.0000(),-0.0002(****),True,False,0.04005093536472204,143508
Model 39,-0.1094(****),--,-0.0181(****),--,--,--,--,--,-0.0005(*),0.0002(****),-0.0002(**),-0.0000(**),0.0000(),0.0000(),0.0000(),0.0000(****),-0.0000(*),-0.0001(****),False,True,0.03446882161898546,143508
Model 40,-0.1051(****),--,-0.0242(****),--,--,--,--,--,-0.0003(),0.0001(***),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(*),-0.0002(****),True,True,0.03578935985207243,143508
Model 41,-0.0755(****),--,--,-0.2862(****),--,--,--,--,-0.0003(),0.0002(****),-0.0001(**),-0.0000(),0.0000(),-0.0000(*),0.0000(*),0.0000(****),-0.0000(**),-0.0001(****),False,False,0.01990897723691243,142341
Model 42,-0.0735(****),--,--,-0.8419(****),--,--,--,--,-0.0002(),0.0001(***),-0.0001(),0.0000(),0.0000(),-0.0000(**),0.0000(*),0.0000(),-0.0000(),-0.0000(*),True,False,0.02232051679498437,142341
Model 43,-0.0783(****),--,--,-0.2522(****),--,--,--,--,-0.0004(),0.0001(****),-0.0001(**),-0.0000(*),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(**),-0.0001(****),False,True,0.018940919506131526,142341
Model 44,-0.0761(****),--,--,-0.8311(****),--,--,--,--,-0.0003(),0.0001(***),-0.0001(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(),-0.0000(***),True,True,0.020748804320601555,142341
Model 45,-0.1101(****),--,--,--,-0.1559(****),--,--,--,-0.0003(),0.0002(****),-0.0002(**),-0.0000(),0.0000(),-0.0000(),0.0000(*),0.0000(****),-0.0000(**),-0.0000(***),False,False,0.034368471005517875,143508
Model 46,-0.1057(****),--,--,--,-0.3279(****),--,--,--,0.0000(),0.0001(**),-0.0001(),0.0000(),0.0000(),-0.0000(*),0.0000(*),0.0000(),-0.0000(),0.0000(*),True,False,0.03681161374331976,143508
Model 47,-0.1123(****),--,--,--,-0.1443(****),--,--,--,-0.0003(),0.0002(****),-0.0002(**),-0.0000(*),0.0000(),0.0000(),0.0000(),0.0000(****),-0.0000(**),-0.0001(****),False,True,0.031218903978966095,143508
Model 48,-0.1078(****),--,--,--,-0.3297(****),--,--,--,-0.0001(),0.0001(***),-0.0001(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(),0.0000(),True,True,0.03318915327840355,143508
Model 49,-0.1019(****),--,--,--,--,-0.1277(****),--,--,-0.0003(),0.0002(****),-0.0002(**),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(***),-0.0001(****),False,False,0.04374660898308258,143508
Model 50,-0.0962(****),--,--,--,--,-0.1660(****),--,--,-0.0002(),0.0001(**),-0.0001(*),0.0000(),0.0000(),-0.0000(*),0.0000(*),0.0000(),-0.0000(),-0.0001(****),True,False,0.04818413402059274,143508
Model 51,-0.1031(****),--,--,--,--,-0.1209(****),--,--,-0.0003(),0.0002(****),-0.0002(**),-0.0000(*),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(***),-0.0001(****),False,True,0.03974135051366823,143508
Model 52,-0.0965(****),--,--,--,--,-0.1606(****),--,--,-0.0001(),0.0001(***),-0.0001(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(*),-0.0001(****),True,True,0.04360963781227667,143508
Model 53,-0.0762(****),--,--,--,--,--,0.0153(),--,-0.0003(),0.0001(****),-0.0001(**),-0.0000(),0.0000(),-0.0000(*),0.0000(*),0.0000(****),-0.0000(**),-0.0001(****),False,False,0.019488392576441194,142341
Model 54,-0.0746(****),--,--,--,--,--,-0.0542(****),--,-0.0002(),0.0001(**),-0.0001(),0.0000(),0.0000(),-0.0000(**),0.0000(*),0.0000(*),-0.0000(),-0.0001(****),True,False,0.019673594166721986,142341
Model 55,-0.0789(****),--,--,--,--,--,0.0364(****),--,-0.0003(),0.0001(****),-0.0001(*),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(**),-0.0001(****),False,True,0.018704642065891508,142341
Model 56,-0.0773(****),--,--,--,--,--,-0.0374(***),--,-0.0002(),0.0001(**),-0.0001(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(*),-0.0001(****),True,True,0.018047551539713935,142341
Model 57,-0.1030(****),--,--,--,--,--,--,-0.0410(****),-0.0004(*),0.0002(****),-0.0002(**),-0.0000(),0.0000(),-0.0000(),0.0000(*),0.0000(****),-0.0000(***),-0.0001(****),False,False,0.04006003239162592,143508
Model 58,-0.0997(****),--,--,--,--,--,--,-0.0497(****),-0.0001(),0.0001(****),-0.0001(),0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(*),-0.0000(),-0.0001(****),True,False,0.04149150182750849,143508
Model 59,-0.1046(****),--,--,--,--,--,--,-0.0364(****),-0.0004(),0.0002(****),-0.0002(**),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(***),-0.0001(****),False,True,0.035542486648395655,143508
Model 60,-0.1015(****),--,--,--,--,--,--,-0.0450(****),-0.0002(),0.0001(****),-0.0001(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(*),-0.0001(****),True,True,0.03606563506623628,143508
Model 61,--,-0.0645(****),-0.0076(****),--,--,--,--,--,-0.0008(***),0.0001(***),-0.0002(**),-0.0000(**),0.0000(*),-0.0000(*),0.0000(),0.0000(****),-0.0000(**),0.0000(),False,False,0.04493573479187685,143508
Model 62,--,-0.0593(****),-0.0137(****),--,--,--,--,--,-0.0005(*),0.0001(*),-0.0001(),-0.0000(),0.0000(*),-0.0000(*),0.0000(),0.0000(),-0.0000(),-0.0000(****),True,False,0.04265403311658689,143508
Model 63,--,-0.0616(****),-0.0077(****),--,--,--,--,--,-0.0005(*),0.0002(****),-0.0002(**),-0.0000(**),0.0000(*),-0.0000(*),0.0000(),0.0000(****),-0.0000(*),0.0000(),False,True,0.03890516602789018,143508
Model 64,--,-0.0563(****),-0.0142(****),--,--,--,--,--,-0.0003(),0.0001(**),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(),-0.0000(***),True,True,0.03659568163814009,143508
Model 65,--,-0.0509(****),--,0.1614(****),--,--,--,--,-0.0005(**),0.0001(****),-0.0001(*),-0.0000(),0.0000(*),-0.0000(**),0.0000(),0.0000(****),-0.0000(*),-0.0000(),False,False,0.03097140222021222,142341
Model 66,--,-0.0464(****),--,-0.3874(****),--,--,--,--,-0.0004(),0.0001(**),-0.0001(),-0.0000(),0.0000(),-0.0000(**),0.0000(),0.0000(*),-0.0000(),0.0000(**),True,False,0.029129829126986695,142341
Model 67,--,-0.0493(****),--,0.1721(****),--,--,--,--,-0.0004(*),0.0001(****),-0.0001(*),-0.0000(*),0.0000(),-0.0000(*),0.0000(),0.0000(****),-0.0000(*),-0.0000(*),False,True,0.027724028734501194,142341
Model 68,--,-0.0448(****),--,-0.3990(****),--,--,--,--,-0.0003(),0.0001(***),-0.0001(),-0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(),-0.0000(),0.0000(**),True,True,0.025587904474802525,142341
Model 69,--,-0.0673(****),--,--,0.0124(),--,--,--,-0.0006(**),0.0001(***),-0.0002(**),-0.0000(*),0.0000(*),-0.0000(*),0.0000(),0.0000(****),-0.0000(**),0.0000(),False,False,0.044229266288187574,143508
Model 70,--,-0.0611(****),--,--,-0.1651(****),--,--,--,-0.0003(),0.0001(*),-0.0001(),-0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(),-0.0000(),0.0001(****),True,False,0.04163007671608965,143508
Model 71,--,-0.0647(****),--,--,0.0209(),--,--,--,-0.0004(*),0.0002(****),-0.0002(*),-0.0000(*),0.0000(*),-0.0000(*),0.0000(),0.0000(****),-0.0000(**),-0.0000(),False,True,0.03821005135486033,143508
Model 72,--,-0.0585(****),--,--,-0.1693(****),--,--,--,-0.0002(),0.0001(**),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(),0.0001(****),True,True,0.035481813710873444,143508
Model 73,--,-0.0603(****),--,--,--,-0.1030(****),--,--,-0.0006(**),0.0001(****),-0.0002(**),-0.0000(*),0.0000(*),-0.0000(**),0.0000(),0.0000(****),-0.0000(**),0.0000(****),False,False,0.050909595340018376,143508
Model 74,--,-0.0548(****),--,--,--,-0.1451(****),--,--,-0.0004(),0.0001(*),-0.0001(),-0.0000(),0.0000(*),-0.0000(**),0.0000(),0.0000(),-0.0000(),-0.0000(),True,False,0.052238956343301,143508
Model 75,--,-0.0578(****),--,--,--,-0.1006(****),--,--,-0.0004(),0.0002(****),-0.0002(**),-0.0000(*),0.0000(*),-0.0000(*),0.0000(),0.0000(****),-0.0000(**),0.0000(****),False,True,0.04463492825954363,143508
Model 76,--,-0.0522(****),--,--,--,-0.1437(****),--,--,-0.0002(),0.0001(***),-0.0001(),-0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(),-0.0000(),0.0000(),True,True,0.04594890335276369,143508
Model 77,--,-0.0516(****),--,--,--,--,0.0960(****),--,-0.0006(**),0.0001(****),-0.0001(*),-0.0000(),0.0000(*),-0.0000(**),0.0000(),0.0000(****),-0.0000(**),-0.0000(),False,False,0.03156280423489677,142341
Model 78,--,-0.0485(****),--,--,--,--,0.0171(),--,-0.0004(),0.0001(**),-0.0001(),-0.0000(),0.0000(),-0.0000(**),0.0000(),0.0000(*),-0.0000(),-0.0000(***),True,False,0.028578264015043597,142341
Model 79,--,-0.0500(****),--,--,--,--,0.1110(****),--,-0.0005(*),0.0001(****),-0.0001(*),-0.0000(*),0.0000(),-0.0000(*),0.0000(),0.0000(****),-0.0000(*),-0.0000(),False,True,0.028522138422973686,142341
Model 80,--,-0.0470(****),--,--,--,--,0.0289(**),--,-0.0003(),0.0001(**),-0.0001(),-0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(*),-0.0000(),-0.0000(**),True,True,0.02503208712377547,142341
Model 81,--,-0.0616(****),--,--,--,--,--,-0.0236(****),-0.0007(**),0.0002(****),-0.0002(**),-0.0000(*),0.0000(*),-0.0000(*),0.0000(),0.0000(****),-0.0000(**),0.0000(*),False,False,0.04633831925693055,143508
Model 82,--,-0.0568(****),--,--,--,--,--,-0.0344(****),-0.0004(),0.0001(**),-0.0001(),-0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(),-0.0000(),-0.0000(***),True,False,0.04459853253003587,143508
Model 83,--,-0.0594(****),--,--,--,--,--,-0.0217(****),-0.0005(*),0.0002(****),-0.0002(**),-0.0000(),0.0000(*),-0.0000(*),0.0000(),0.0000(****),-0.0000(**),0.0000(),False,True,0.039971486849199045,143508
Model 84,--,-0.0550(****),--,--,--,--,--,-0.0318(****),-0.0003(),0.0001(***),-0.0001(),-0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(),-0.0000(),-0.0000(*),True,True,0.03779318629952433,143508
Model 85,--,--,-0.0138(****),-0.2644(****),--,--,--,--,-0.0010(****),0.0001(***),-0.0002(***),-0.0001(****),0.0000(),-0.0000(*),0.0000(),0.0000(****),-0.0000(*),-0.0001(****),False,False,0.007144733110977963,142341
Model 86,--,--,-0.0187(****),-0.8618(****),--,--,--,--,-0.0008(***),0.0001(**),-0.0001(*),-0.0000(),0.0000(),-0.0000(**),0.0000(),0.0000(),-0.0000(),-0.0000(***),True,False,0.01288294524270539,142341
Model 87,--,--,-0.0138(****),-0.2014(****),--,--,--,--,-0.0006(**),0.0002(****),-0.0002(**),-0.0001(****),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(),-0.0000(****),False,True,0.005769302197775272,142341
Model 88,--,--,-0.0190(****),-0.8309(****),--,--,--,--,-0.0005(*),0.0001(****),-0.0001(),-0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(),-0.0000(),-0.0000(),True,True,0.01109613279638133,142341
Model 89,--,--,-0.0207(****),--,-0.1689(****),--,--,--,-0.0013(****),0.0001(**),-0.0003(****),-0.0001(****),0.0000(*),-0.0000(),0.0000(),0.0000(****),-0.0000(*),-0.0000(**),False,False,0.01313022027248989,143508
Model 90,--,--,-0.0268(****),--,-0.3641(****),--,--,--,-0.0008(***),0.0001(*),-0.0002(**),-0.0000(*),0.0000(),-0.0000(*),0.0000(),0.0000(),-0.0000(),0.0000(*),True,False,0.02108292869135986,143508
Model 91,--,--,-0.0207(****),--,-0.1290(****),--,--,--,-0.0007(**),0.0002(****),-0.0002(***),-0.0001(****),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(),-0.0000(**),False,True,0.009973809991229765,143508
Model 92,--,--,-0.0269(****),--,-0.3408(****),--,--,--,-0.0004(),0.0002(****),-0.0001(),-0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(),-0.0000(),0.0001(****),True,True,0.017465168963878064,143508
Model 93,--,--,-0.0197(****),--,--,-0.1482(****),--,--,-0.0013(****),0.0001(**),-0.0003(****),-0.0001(****),0.0000(*),-0.0000(*),0.0000(),0.0000(****),-0.0000(**),-0.0001(****),False,False,0.026230601815800614,143508
Model 94,--,--,-0.0248(****),--,--,-0.1858(****),--,--,-0.0009(****),0.0001(),-0.0002(**),-0.0000(*),0.0000(),-0.0000(*),0.0000(),0.0000(),-0.0000(),-0.0001(****),True,False,0.035767565437113014,143508
Model 95,--,--,-0.0197(****),--,--,-0.1425(****),--,--,-0.0006(**),0.0002(****),-0.0002(***),-0.0001(****),0.0000(),-0.0000(*),0.0000(),0.0000(****),-0.0000(*),-0.0000(****),False,True,0.022729292509662713,143508
Model 96,--,--,-0.0252(****),--,--,-0.1816(****),--,--,-0.0004(),0.0002(****),-0.0001(),-0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(),-0.0000(),-0.0001(****),True,True,0.03220592715038706,143508
Model 97,--,--,-0.0143(****),--,--,--,-0.0035(),--,-0.0010(****),0.0001(**),-0.0002(***),-0.0001(****),0.0000(),-0.0000(*),0.0000(),0.0000(****),-0.0000(*),-0.0001(****),False,False,0.006774760287104442,142341
Model 98,--,--,-0.0195(****),--,--,--,-0.0845(****),--,-0.0007(***),0.0001(*),-0.0001(*),-0.0000(),0.0000(),-0.0000(**),0.0000(),0.0000(),-0.0000(),-0.0001(****),True,False,0.010400618593131128,142341
Model 99,--,--,-0.0144(****),--,--,--,0.0305(**),--,-0.0006(**),0.0002(****),-0.0001(**),-0.0001(****),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(),-0.0001(****),False,True,0.005628265136966015,142341
Model 100,--,--,-0.0199(****),--,--,--,-0.0561(****),--,-0.0004(*),0.0001(****),-0.0001(),-0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(*),-0.0000(),-0.0001(****),True,True,0.008529093196480542,142341
Model 101,--,--,-0.0195(****),--,--,--,--,-0.0496(****),-0.0014(****),0.0002(****),-0.0002(****),-0.0001(****),0.0000(*),-0.0000(),0.0000(),0.0000(****),-0.0000(***),-0.0001(****),False,False,0.022028950880665255,143508
Model 102,--,--,-0.0255(****),--,--,--,--,-0.0574(****),-0.0009(****),0.0001(**),-0.0001(*),-0.0000(*),0.0000(),-0.0000(*),0.0000(),0.0000(),-0.0000(),-0.0002(****),True,False,0.027975151381918195,143508
Model 103,--,--,-0.0196(****),--,--,--,--,-0.0460(****),-0.0008(***),0.0002(****),-0.0002(**),-0.0001(***),0.0000(),-0.0000(*),0.0000(),0.0000(****),-0.0000(**),-0.0001(****),False,True,0.017968277647286923,143508
Model 104,--,--,-0.0260(****),--,--,--,--,-0.0528(****),-0.0005(*),0.0002(****),-0.0001(),-0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(*),-0.0000(),-0.0001(****),True,True,0.023029769851026227,143508
Model 105,--,--,--,0.1228(),-0.1417(****),--,--,--,-0.0008(***),0.0001(***),-0.0002(**),-0.0000(***),0.0000(),-0.0000(*),0.0000(),0.0000(****),-0.0000(*),-0.0000(*),False,False,0.004040855934825727,142341
Model 106,--,--,--,-0.4440(****),-0.1532(****),--,--,--,-0.0005(*),0.0001(**),-0.0001(*),-0.0000(),0.0000(),-0.0000(**),0.0000(),0.0000(),-0.0000(),0.0000(*),True,False,0.0075077671421721615,142341
Model 107,--,--,--,0.0290(),-0.0977(***),--,--,--,-0.0005(*),0.0002(****),-0.0001(**),-0.0000(***),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),-0.0000(**),False,True,0.002551387473505362,142341
Model 108,--,--,--,-0.4888(****),-0.1332(****),--,--,--,-0.0003(),0.0001(****),-0.0001(),-0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(),-0.0000(),0.0000(***),True,True,0.005532586055392863,142341
Model 109,--,--,--,0.5603(****),--,-0.1224(****),--,--,-0.0008(***),0.0001(**),-0.0002(**),-0.0000(***),0.0000(),-0.0000(*),0.0000(),0.0000(****),-0.0000(***),-0.0001(****),False,False,0.011796493357095983,142341
Model 110,--,--,--,0.0124(),--,-0.1317(****),--,--,-0.0006(**),0.0001(*),-0.0001(*),-0.0000(),0.0000(),-0.0000(**),0.0000(),0.0000(),-0.0000(),-0.0001(****),True,False,0.015969369988858895,142341
Model 111,--,--,--,0.6237(****),--,-0.1227(****),--,--,-0.0004(),0.0002(****),-0.0001(*),-0.0000(**),0.0000(),-0.0000(*),0.0000(),0.0000(****),-0.0000(**),-0.0001(****),False,True,0.010485268539769388,142341
Model 112,--,--,--,0.0382(),--,-0.1315(****),--,--,-0.0004(),0.0001(****),-0.0001(),-0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(*),-0.0000(),-0.0001(****),True,True,0.014082754880622161,142341
Model 113,--,--,--,-0.3888(****),--,--,0.0223(*),--,-0.0008(****),0.0001(***),-0.0002(**),-0.0001(***),0.0000(),-0.0000(*),0.0000(),0.0000(****),-0.0000(**),-0.0000(****),False,False,0.0038731555153193042,142341
Model 114,--,--,--,-0.9154(****),--,--,-0.0345(**),--,-0.0005(**),0.0001(**),-0.0001(*),-0.0000(),0.0000(),-0.0000(**),0.0000(),0.0000(),-0.0000(),-0.0000(),True,False,0.007356287812278595,142341
Model 115,--,--,--,-0.3736(****),--,--,0.0512(****),--,-0.0005(**),0.0002(****),-0.0001(**),-0.0000(***),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),-0.0000(****),False,True,0.0026356757827056265,142341
Model 116,--,--,--,-0.9226(****),--,--,-0.0098(),--,-0.0004(),0.0001(****),-0.0001(),-0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(),-0.0000(),0.0000(),True,True,0.005371215611262414,142341
