dependents:c2
,freshness_DIV,c2_DIV,d2_DIV,subject_DIV,variety,balance,disparsity,impact_diversity,teamsize,age_mean,age_std,pnum_mean,pnum_std,cn_mean,cn_std,rank_mean,rank_std,num_of_refs,journal fixed,Year fixed,R2,# of Smaples
Model 1,3.0538(****),--,--,--,--,--,--,--,0.3369(****),0.1160(****),-0.1460(****),-0.0045(),0.0006(),0.0004(****),0.0001(****),-0.0002(****),0.0008(****),0.0806(****),False,False,0.0901660314587136,160738
Model 2,2.1652(****),--,--,--,--,--,--,--,0.4707(****),0.0819(****),-0.0944(****),-0.0049(*),0.0028(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0862(****),True,False,0.0767678100814928,160738
Model 3,0.2242(),--,--,--,--,--,--,--,0.1695(****),0.0826(****),-0.1659(****),-0.0140(****),0.0021(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0657(****),False,True,0.05824775992352871,160738
Model 4,0.1453(),--,--,--,--,--,--,--,0.3650(****),0.0637(****),-0.1091(****),-0.0122(****),0.0047(),0.0004(****),0.0001(****),-0.0001(***),0.0002(***),0.0727(****),True,True,0.045982276987367676,160738
Model 5,--,0.9957(****),--,--,--,--,--,--,0.3512(****),0.1172(****),-0.1465(****),-0.0035(),0.0003(),0.0004(****),0.0001(****),-0.0002(****),0.0008(****),0.0787(****),False,False,0.08984925685245859,160738
Model 6,--,0.6854(****),--,--,--,--,--,--,0.4800(****),0.0828(****),-0.0947(****),-0.0043(),0.0027(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0850(****),True,False,0.07659048063188156,160738
Model 7,--,0.3992(**),--,--,--,--,--,--,0.1695(****),0.0828(****),-0.1662(****),-0.0141(****),0.0021(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0650(****),False,True,0.058291807541694274,160738
Model 8,--,0.4201(**),--,--,--,--,--,--,0.3648(****),0.0640(****),-0.1095(****),-0.0122(****),0.0047(),0.0004(****),0.0001(****),-0.0001(***),0.0002(**),0.0719(****),True,True,0.04603550007442969,160738
Model 9,--,--,-1.4804(****),--,--,--,--,--,0.3373(****),0.1190(****),-0.1461(****),-0.0045(),0.0001(),0.0005(****),0.0001(****),-0.0002(****),0.0008(****),0.0809(****),False,False,0.09050115053153107,160738
Model 10,--,--,-0.8972(****),--,--,--,--,--,0.4764(****),0.0832(****),-0.0938(****),-0.0046(*),0.0027(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0863(****),True,False,0.07678210828108478,160738
Model 11,--,--,-1.1235(****),--,--,--,--,--,0.1589(****),0.0839(****),-0.1666(****),-0.0148(****),0.0020(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0661(****),False,True,0.05880842289695609,160738
Model 12,--,--,-0.6030(****),--,--,--,--,--,0.3626(****),0.0641(****),-0.1091(****),-0.0123(****),0.0047(),0.0004(****),0.0001(****),-0.0001(***),0.0002(***),0.0727(****),True,True,0.046137661782052364,160738
Model 13,--,--,--,-56.8633(****),--,--,--,--,0.3584(****),0.1218(****),-0.1471(****),-0.0034(),0.0005(),0.0005(****),0.0001(****),-0.0002(****),0.0008(****),0.0879(****),False,False,0.08935607292559089,159558
Model 14,--,--,--,-3.7268(),--,--,--,--,0.4850(****),0.0844(****),-0.0943(****),-0.0041(),0.0027(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0869(****),True,False,0.07591060990225862,159558
Model 15,--,--,--,-75.5994(****),--,--,--,--,0.1638(****),0.0858(****),-0.1693(****),-0.0145(****),0.0025(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0749(****),False,True,0.05893654762578837,159558
Model 16,--,--,--,-12.8921(),--,--,--,--,0.3661(****),0.0652(****),-0.1098(****),-0.0122(****),0.0048(),0.0004(****),0.0001(****),-0.0001(***),0.0002(***),0.0741(****),True,True,0.045890595061125916,159558
Model 17,--,--,--,--,-7.5387(****),--,--,--,0.3612(****),0.1192(****),-0.1450(****),-0.0031(),0.0004(),0.0004(****),0.0001(****),-0.0002(****),0.0008(****),0.0852(****),False,False,0.08965411730948758,160738
Model 18,--,--,--,--,3.6323(),--,--,--,0.4822(****),0.0827(****),-0.0937(****),-0.0041(),0.0027(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0846(****),True,False,0.07646485917297974,160738
Model 19,--,--,--,--,-17.9547(****),--,--,--,0.1671(****),0.0835(****),-0.1675(****),-0.0144(****),0.0024(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0756(****),False,True,0.05880783062186734,160738
Model 20,--,--,--,--,-2.7502(),--,--,--,0.3657(****),0.0638(****),-0.1091(****),-0.0122(****),0.0047(),0.0004(****),0.0001(****),-0.0001(***),0.0002(***),0.0741(****),True,True,0.04599205472657253,160738
Model 21,--,--,--,--,--,-2.4960(****),--,--,0.3593(****),0.1185(****),-0.1449(****),-0.0031(),0.0004(),0.0004(****),0.0001(****),-0.0002(****),0.0008(****),0.0816(****),False,False,0.08967686485835225,160738
Model 22,--,--,--,--,--,0.8938(),--,--,0.4842(****),0.0830(****),-0.0935(****),-0.0041(),0.0027(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0864(****),True,False,0.0764601917164427,160738
Model 23,--,--,--,--,--,-2.1588(****),--,--,0.1705(****),0.0828(****),-0.1660(****),-0.0140(****),0.0022(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0664(****),False,True,0.05833828453457168,160738
Model 24,--,--,--,--,--,1.5144(**),--,--,0.3652(****),0.0636(****),-0.1091(****),-0.0122(****),0.0047(),0.0004(****),0.0001(****),-0.0001(***),0.0002(***),0.0723(****),True,True,0.04602385173257206,160738
Model 25,--,--,--,--,--,--,-1.2180(),--,0.3601(****),0.1196(****),-0.1460(****),-0.0031(),0.0004(),0.0005(****),0.0001(****),-0.0002(****),0.0008(****),0.0808(****),False,False,0.08894562509051218,159558
Model 26,--,--,--,--,--,--,3.2592(),--,0.4830(****),0.0840(****),-0.0946(****),-0.0042(),0.0027(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0860(****),True,False,0.07592590777421049,159558
