dependents:c2
,freshness_DIV,c2_DIV,d2_DIV,subject_DIV,variety,balance,disparsity,impact_diversity,teamsize,age_mean,age_std,pnum_mean,pnum_std,cn_mean,cn_std,rank_mean,rank_std,num_of_refs,journal fixed,Year fixed,R2,# of Smaples
Model 27,--,--,--,--,--,--,-8.9808(****),--,0.1714(****),0.0841(****),-0.1672(****),-0.0142(****),0.0023(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0669(****),False,True,0.058322165229481304,159558
Model 28,--,--,--,--,--,--,0.2817(),--,0.3659(****),0.0650(****),-0.1098(****),-0.0122(****),0.0047(),0.0004(****),0.0001(****),-0.0001(***),0.0002(***),0.0726(****),True,True,0.04587308139524415,159558
Model 29,--,--,--,--,--,--,--,0.3151(),0.3597(****),0.1176(****),-0.1448(****),-0.0031(),0.0003(),0.0004(****),0.0001(****),-0.0002(****),0.0008(****),0.0806(****),False,False,0.08956874094412615,160738
Model 30,--,--,--,--,--,--,--,1.8331(****),0.4863(****),0.0809(****),-0.0944(****),-0.0040(),0.0028(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0858(****),True,False,0.07684890099473474,160738
Model 31,--,--,--,--,--,--,--,0.5795(**),0.1715(****),0.0820(****),-0.1658(****),-0.0141(****),0.0020(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0653(****),False,True,0.05828754233788758,160738
Model 32,--,--,--,--,--,--,--,2.0671(****),0.3685(****),0.0621(****),-0.1094(****),-0.0123(****),0.0046(),0.0004(****),0.0001(****),-0.0001(***),0.0002(**),0.0720(****),True,True,0.04649635114654016,160738
Model 33,2.7684(****),0.7682(****),--,--,--,--,--,--,0.3332(****),0.1155(****),-0.1472(****),-0.0047(*),0.0005(),0.0004(****),0.0001(****),-0.0002(****),0.0008(****),0.0789(****),False,False,0.09033513178566721,160738
Model 34,1.9765(****),0.5279(***),--,--,--,--,--,--,0.4687(****),0.0818(****),-0.0953(****),-0.0050(*),0.0028(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0850(****),True,False,0.07685121211612522,160738
Model 35,0.0971(),0.3924(**),--,--,--,--,--,--,0.1693(****),0.0828(****),-0.1662(****),-0.0141(****),0.0021(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0650(****),False,True,0.05829239577741663,160738
Model 36,0.0131(),0.4192(**),--,--,--,--,--,--,0.3648(****),0.0640(****),-0.1094(****),-0.0122(****),0.0047(),0.0004(****),0.0001(****),-0.0001(***),0.0002(**),0.0720(****),True,True,0.04603551133252648,160738
Model 37,3.2450(****),--,-1.5415(****),--,--,--,--,--,0.3133(****),0.1169(****),-0.1474(****),-0.0061(**),0.0004(),0.0005(****),0.0001(****),-0.0002(****),0.0008(****),0.0807(****),False,False,0.09118817505241184,160738
Model 38,2.3333(****),--,-0.9641(****),--,--,--,--,--,0.4614(****),0.0819(****),-0.0948(****),-0.0055(*),0.0028(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0859(****),True,False,0.07715426174444406,160738
Model 39,0.4529(),--,-1.1365(****),--,--,--,--,--,0.1578(****),0.0840(****),-0.1666(****),-0.0149(****),0.0020(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0662(****),False,True,0.05882143059428868,160738
Model 40,0.3001(),--,-0.6148(****),--,--,--,--,--,0.3621(****),0.0641(****),-0.1091(****),-0.0124(****),0.0047(),0.0004(****),0.0001(****),-0.0001(***),0.0002(***),0.0728(****),True,True,0.04614362418706941,160738
Model 41,3.2122(****),--,--,-59.9229(****),--,--,--,--,0.3365(****),0.1198(****),-0.1482(****),-0.0049(*),0.0008(),0.0005(****),0.0001(****),-0.0002(****),0.0008(****),0.0883(****),False,False,0.08999131672794991,159558
Model 42,2.1916(****),--,--,-7.2226(),--,--,--,--,0.4721(****),0.0833(****),-0.0951(****),-0.0049(*),0.0029(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0871(****),True,False,0.07622100028836643,159558
Model 43,0.2753(),--,--,-75.7740(****),--,--,--,--,0.1632(****),0.0858(****),-0.1693(****),-0.0146(****),0.0025(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0751(****),False,True,0.058941105404901384,159558
Model 44,0.0827(),--,--,-13.0047(),--,--,--,--,0.3660(****),0.0652(****),-0.1098(****),-0.0122(****),0.0048(),0.0004(****),0.0001(****),-0.0001(***),0.0002(***),0.0742(****),True,True,0.04589102598998318,159558
Model 45,3.1786(****),--,--,--,-9.1786(****),--,--,--,0.3391(****),0.1173(****),-0.1463(****),-0.0046(),0.0007(),0.0004(****),0.0001(****),-0.0002(****),0.0008(****),0.0859(****),False,False,0.09031020791446076,160738
Model 46,2.1332(****),--,--,--,2.0570(),--,--,--,0.4698(****),0.0817(****),-0.0945(****),-0.0049(*),0.0028(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0851(****),True,False,0.07677386743287651,160738
Model 47,0.3722(),--,--,--,-18.0660(****),--,--,--,0.1663(****),0.0836(****),-0.1675(****),-0.0145(****),0.0024(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0757(****),False,True,0.05881664598113556,160738
Model 48,0.1794(),--,--,--,-2.8473(),--,--,--,0.3654(****),0.0638(****),-0.1091(****),-0.0122(****),0.0047(),0.0004(****),0.0001(****),-0.0001(***),0.0002(***),0.0742(****),True,True,0.045994192002216994,160738
Model 49,3.3107(****),--,--,--,--,-3.3524(****),--,--,0.3360(****),0.1164(****),-0.1462(****),-0.0047(*),0.0007(),0.0004(****),0.0001(****),-0.0002(****),0.0008(****),0.0817(****),False,False,0.09037945396092872,160738
Model 50,2.1471(****),--,--,--,--,0.2190(),--,--,0.4708(****),0.0819(****),-0.0944(****),-0.0049(*),0.0028(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0862(****),True,False,0.07676865443739611,160738
Model 51,0.4147(),--,--,--,--,-2.2692(****),--,--,0.1697(****),0.0829(****),-0.1660(****),-0.0141(****),0.0022(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0666(****),False,True,0.05834900902276152,160738
Model 52,0.0071(),--,--,--,--,1.5121(**),--,--,0.3652(****),0.0636(****),-0.1091(****),-0.0122(****),0.0047(),0.0004(****),0.0001(****),-0.0001(***),0.0002(***),0.0723(****),True,True,0.04602385498627437,160738
Model 53,3.1278(****),--,--,--,--,--,-2.6467(),--,0.3397(****),0.1177(****),-0.1469(****),-0.0046(),0.0006(),0.0005(****),0.0001(****),-0.0002(****),0.0008(****),0.0810(****),False,False,0.08954553794433495,159558
Model 54,2.1440(****),--,--,--,--,--,1.8769(),--,0.4709(****),0.0830(****),-0.0952(****),-0.0049(*),0.0029(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0860(****),True,False,0.07622116521290512,159558
Model 55,0.2464(),--,--,--,--,--,-9.0531(****),--,0.1709(****),0.0841(****),-0.1672(****),-0.0142(****),0.0023(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0670(****),False,True,0.058325812150962775,159558
Model 56,0.0497(),--,--,--,--,--,0.2567(),--,0.3658(****),0.0650(****),-0.1098(****),-0.0122(****),0.0047(),0.0004(****),0.0001(****),-0.0001(***),0.0002(***),0.0726(****),True,True,0.045873236553469976,159558
Model 57,3.0556(****),--,--,--,--,--,--,-0.0089(),0.3368(****),0.1160(****),-0.1460(****),-0.0045(),0.0006(),0.0004(****),0.0001(****),-0.0002(****),0.0008(****),0.0806(****),False,False,0.09016604132423811,160738
Model 58,1.8375(****),--,--,--,--,--,--,1.6203(****),0.4747(****),0.0802(****),-0.0951(****),-0.0047(*),0.0028(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0856(****),True,False,0.0770754142967972,160738
Model 59,0.0888(),--,--,--,--,--,--,0.5690(**),0.1713(****),0.0820(****),-0.1658(****),-0.0141(****),0.0021(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0654(****),False,True,0.05828803058891441,160738
Model 60,-0.3139(),--,--,--,--,--,--,2.1051(****),0.3691(****),0.0620(****),-0.1094(****),-0.0122(****),0.0046(),0.0004(****),0.0001(****),-0.0001(***),0.0002(**),0.0719(****),True,True,0.04650276574076817,160738
Model 61,--,1.4673(****),-1.7513(****),--,--,--,--,--,0.3225(****),0.1181(****),-0.1489(****),-0.0054(*),0.0000(),0.0005(****),0.0001(****),-0.0002(****),0.0008(****),0.0778(****),False,False,0.09110595351108719,160738
Model 62,--,0.9944(****),-1.1026(****),--,--,--,--,--,0.4687(****),0.0828(****),-0.0955(****),-0.0049(*),0.0026(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0839(****),True,False,0.07706913219805034,160738
Model 63,--,0.7607(****),-1.2675(****),--,--,--,--,--,0.1564(****),0.0845(****),-0.1674(****),-0.0151(****),0.0019(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0649(****),False,True,0.05897075446902311,160738
Model 64,--,0.6397(****),-0.7395(****),--,--,--,--,--,0.3614(****),0.0646(****),-0.1096(****),-0.0125(****),0.0046(),0.0004(****),0.0001(****),-0.0001(***),0.0002(***),0.0716(****),True,True,0.04625635125002692,160738
Model 65,--,1.2772(****),--,-68.8338(****),--,--,--,--,0.3495(****),0.1213(****),-0.1493(****),-0.0040(),0.0005(),0.0005(****),0.0001(****),-0.0002(****),0.0008(****),0.0869(****),False,False,0.08979664352181482,159558
Model 66,--,0.7234(****),--,-12.1154(),--,--,--,--,0.4814(****),0.0842(****),-0.0954(****),-0.0043(),0.0027(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0863(****),True,False,0.07605721885509709,159558
Model 67,--,0.7184(****),--,-81.7322(****),--,--,--,--,0.1624(****),0.0863(****),-0.1701(****),-0.0147(****),0.0024(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0745(****),False,True,0.05907800986263512,159558
Model 68,--,0.4795(***),--,-18.1997(*),--,--,--,--,0.3658(****),0.0656(****),-0.1102(****),-0.0123(****),0.0047(),0.0004(****),0.0001(****),-0.0001(***),0.0002(***),0.0739(****),True,True,0.04595583768713085,159558
Model 69,--,1.2052(****),--,--,-11.3529(****),--,--,--,0.3534(****),0.1189(****),-0.1472(****),-0.0036(),0.0004(),0.0004(****),0.0001(****),-0.0002(****),0.0008(****),0.0849(****),False,False,0.0900584211207558,160738
Model 70,--,0.6655(****),--,--,1.1175(),--,--,--,0.4795(****),0.0827(****),-0.0947(****),-0.0043(),0.0027(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0844(****),True,False,0.07659216771929811,160738
Model 71,--,0.7298(****),--,--,-20.0018(****),--,--,--,0.1658(****),0.0840(****),-0.1684(****),-0.0147(****),0.0023(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0754(****),False,True,0.058958440464285555,160738
Model 72,--,0.4956(***),--,--,-4.4928(*),--,--,--,0.3655(****),0.0642(****),-0.1096(****),-0.0123(****),0.0047(),0.0004(****),0.0001(****),-0.0001(***),0.0002(***),0.0741(****),True,True,0.046063595692386605,160738
Model 73,--,1.1726(****),--,--,--,-3.4209(****),--,--,0.3508(****),0.1177(****),-0.1470(****),-0.0037(),0.0004(),0.0004(****),0.0001(****),-0.0002(****),0.0008(****),0.0794(****),False,False,0.09006673501407791,160738
Model 74,--,0.6698(****),--,--,--,0.2990(),--,--,0.4801(****),0.0827(****),-0.0947(****),-0.0043(),0.0027(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0850(****),True,False,0.07659202228647655,160738
Model 75,--,0.5303(***),--,--,--,-2.5592(****),--,--,0.1700(****),0.0832(****),-0.1666(****),-0.0142(****),0.0021(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0656(****),False,True,0.0584184454343446,160738
Model 76,--,0.3565(*),--,--,--,1.2034(*),--,--,0.3649(****),0.0638(****),-0.1094(****),-0.0122(****),0.0046(),0.0004(****),0.0001(****),-0.0001(***),0.0002(**),0.0718(****),True,True,0.046061395018223594,160738
Model 77,--,1.0335(****),--,--,--,--,-3.5542(),--,0.3545(****),0.1191(****),-0.1475(****),-0.0035(),0.0003(),0.0005(****),0.0001(****),-0.0002(****),0.0008(****),0.0791(****),False,False,0.08923668317264111,159558
Model 78,--,0.6526(****),--,--,--,--,1.6108(),--,0.4803(****),0.0839(****),-0.0954(****),-0.0043(),0.0027(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0848(****),True,False,0.07604682587875689,159558
Model 79,--,0.5080(***),--,--,--,--,-9.9358(****),--,0.1709(****),0.0844(****),-0.1676(****),-0.0143(****),0.0022(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0662(****),False,True,0.05839380497280555,159558
Model 80,--,0.4151(**),--,--,--,--,-0.6396(),--,0.3658(****),0.0652(****),-0.1101(****),-0.0123(****),0.0047(),0.0004(****),0.0001(****),-0.0001(***),0.0002(**),0.0720(****),True,True,0.04592285877935243,159558
Model 81,--,1.0079(****),--,--,--,--,--,-0.0734(),0.3508(****),0.1173(****),-0.1465(****),-0.0035(),0.0003(),0.0004(****),0.0001(****),-0.0002(****),0.0008(****),0.0787(****),False,False,0.08984989477417937,160738
Model 82,--,0.4248(**),--,--,--,--,--,1.6621(****),0.4836(****),0.0809(****),-0.0951(****),-0.0041(),0.0027(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0849(****),True,False,0.07690098992514027,160738
Model 83,--,0.3267(*),--,--,--,--,--,0.4602(*),0.1708(****),0.0823(****),-0.1661(****),-0.0142(****),0.0020(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0648(****),False,True,0.05831735954129147,160738
Model 84,--,0.1256(),--,--,--,--,--,2.0202(****),0.3684(****),0.0622(****),-0.1095(****),-0.0123(****),0.0046(),0.0004(****),0.0001(****),-0.0001(***),0.0002(**),0.0718(****),True,True,0.04650096700690043,160738
Model 85,--,--,-1.4317(****),-48.0462(****),--,--,--,--,0.3373(****),0.1224(****),-0.1484(****),-0.0048(*),0.0003(),0.0005(****),0.0001(****),-0.0002(****),0.0008(****),0.0868(****),False,False,0.09022017577764252,159558
Model 86,--,--,-0.9281(****),0.7448(),--,--,--,--,0.4765(****),0.0843(****),-0.0947(****),-0.0046(*),0.0027(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0861(****),True,False,0.07626341736627973,159558
Model 87,--,--,-1.0098(****),-69.0976(****),--,--,--,--,0.1542(****),0.0869(****),-0.1699(****),-0.0152(****),0.0023(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0745(****),False,True,0.05938115177200953,159558
Model 88,--,--,-0.6133(****),-9.8220(),--,--,--,--,0.3634(****),0.0655(****),-0.1098(****),-0.0124(****),0.0047(),0.0004(****),0.0001(****),-0.0001(***),0.0002(***),0.0738(****),True,True,0.04604929349555975,159558
Model 89,--,--,-1.4433(****),--,-4.6649(*),--,--,--,0.3394(****),0.1197(****),-0.1462(****),-0.0045(),0.0002(),0.0005(****),0.0001(****),-0.0002(****),0.0008(****),0.0836(****),False,False,0.09053806154650446,160738
Model 90,--,--,-0.9237(****),--,5.0374(*),--,--,--,0.4736(****),0.0827(****),-0.0940(****),-0.0046(*),0.0027(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0835(****),True,False,0.07681856178007207,160738
Model 91,--,--,-0.9876(****),--,-15.7813(****),--,--,--,0.1577(****),0.0846(****),-0.1680(****),-0.0151(****),0.0022(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0748(****),False,True,0.05923534336928127,160738
Model 92,--,--,-0.5929(****),--,-1.7385(),--,--,--,0.3629(****),0.0641(****),-0.1091(****),-0.0124(****),0.0047(),0.0004(****),0.0001(****),-0.0001(***),0.0002(***),0.0736(****),True,True,0.046142087943479515,160738
Model 93,--,--,-1.4533(****),--,--,-2.0724(***),--,--,0.3383(****),0.1194(****),-0.1462(****),-0.0046(),0.0002(),0.0005(****),0.0001(****),-0.0002(****),0.0008(****),0.0816(****),False,False,0.09058404384153484,160738
Model 94,--,--,-0.9201(****),--,--,1.2768(*),--,--,0.4763(****),0.0830(****),-0.0938(****),-0.0046(*),0.0027(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0860(****),True,False,0.0768113551006423,160738
Model 95,--,--,-1.1007(****),--,--,-1.8595(***),--,--,0.1596(****),0.0841(****),-0.1667(****),-0.0148(****),0.0021(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0667(****),False,True,0.05887773548359054,160738
Model 96,--,--,-0.6335(****),--,--,1.7659(**),--,--,0.3624(****),0.0639(****),-0.1091(****),-0.0123(****),0.0047(),0.0004(****),0.0001(****),-0.0001(***),0.0002(***),0.0723(****),True,True,0.04619571567864533,160738
Model 97,--,--,-1.5217(****),--,--,--,0.3430(),--,0.3365(****),0.1205(****),-0.1476(****),-0.0047(*),0.0002(),0.0005(****),0.0001(****),-0.0002(****),0.0008(****),0.0805(****),False,False,0.08992887058295673,159558
Model 98,--,--,-0.9413(****),--,--,--,4.1065(*),--,0.4741(****),0.0841(****),-0.0950(****),-0.0047(*),0.0027(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0855(****),True,False,0.07628982445019283,159558
Model 99,--,--,-1.1071(****),--,--,--,-7.6686(****),--,0.1601(****),0.0855(****),-0.1680(****),-0.0149(****),0.0021(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0671(****),False,True,0.05886028714570579,159558
Model 100,--,--,-0.6293(****),--,--,--,0.9418(),--,0.3630(****),0.0654(****),-0.1098(****),-0.0124(****),0.0047(),0.0004(****),0.0001(****),-0.0001(***),0.0002(***),0.0726(****),True,True,0.04604052858461816,159558
Model 101,--,--,-1.5058(****),--,--,--,--,0.5512(**),0.3388(****),0.1184(****),-0.1462(****),-0.0046(),0.0001(),0.0005(****),0.0001(****),-0.0002(****),0.0008(****),0.0806(****),False,False,0.09053933146412707,160738
Model 102,--,--,-0.9997(****),--,--,--,--,2.0107(****),0.4779(****),0.0808(****),-0.0948(****),-0.0045(),0.0027(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0854(****),True,False,0.07726279493238453,160738
Model 103,--,--,-1.1529(****),--,--,--,--,0.7394(***),0.1606(****),0.0833(****),-0.1665(****),-0.0150(****),0.0019(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0657(****),False,True,0.05887802572168244,160738
Model 104,--,--,-0.7072(****),--,--,--,--,2.1874(****),0.3657(****),0.0624(****),-0.1094(****),-0.0125(****),0.0046(),0.0004(****),0.0001(****),-0.0001(***),0.0002(***),0.0720(****),True,True,0.046710217048525626,160738
Model 105,--,--,--,-218.5315(****),47.5563(****),--,--,--,0.3410(****),0.1207(****),-0.1483(****),-0.0038(),0.0006(),0.0005(****),0.0001(****),-0.0002(****),0.0007(****),0.0811(****),False,False,0.08988172443600972,159558
Model 106,--,--,--,-90.6899(****),25.5309(****),--,--,--,0.4764(****),0.0841(****),-0.0951(****),-0.0044(),0.0027(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0831(****),True,False,0.0760654820023231,159558
Model 107,--,--,--,-104.9861(****),8.7075(),--,--,--,0.1628(****),0.0860(****),-0.1693(****),-0.0145(****),0.0025(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0738(****),False,True,0.058954117093539704,159558
Model 108,--,--,--,-16.3794(),1.0285(),--,--,--,0.3660(****),0.0652(****),-0.1098(****),-0.0122(****),0.0048(),0.0004(****),0.0001(****),-0.0001(***),0.0002(***),0.0740(****),True,True,0.04589084739669902,159558
Model 109,--,--,--,-56.5646(****),--,-0.0419(),--,--,0.3584(****),0.1218(****),-0.1471(****),-0.0034(),0.0005(),0.0005(****),0.0001(****),-0.0002(****),0.0008(****),0.0879(****),False,False,0.08935609304118552,159558
Model 110,--,--,--,-13.0344(),--,1.3328(),--,--,0.4857(****),0.0844(****),-0.0943(****),-0.0041(),0.0027(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0878(****),True,False,0.07593102978466215,159558
Model 111,--,--,--,-91.6804(****),--,2.2454(**),--,--,0.1620(****),0.0858(****),-0.1695(****),-0.0146(****),0.0025(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0762(****),False,True,0.05899656488145433,159558
Model 112,--,--,--,-33.6383(***),--,2.9615(****),--,--,0.3664(****),0.0652(****),-0.1099(****),-0.0122(****),0.0047(),0.0004(****),0.0001(****),-0.0001(***),0.0002(***),0.0758(****),True,True,0.04599499512134686,159558
Model 113,--,--,--,-65.8616(****),--,--,6.0453(**),--,0.3544(****),0.1215(****),-0.1476(****),-0.0035(),0.0005(),0.0005(****),0.0001(****),-0.0002(****),0.0008(****),0.0880(****),False,False,0.08940873484925471,159558
Model 114,--,--,--,-8.5537(),--,--,3.9412(),--,0.4830(****),0.0842(****),-0.0946(****),-0.0042(),0.0027(),0.0004(****),0.0001(****),-0.0000(),0.0002(****),0.0869(****),True,False,0.0759326741724824,159558
Model 115,--,--,--,-74.2795(****),--,--,-0.9264(),--,0.1640(****),0.0858(****),-0.1693(****),-0.0145(****),0.0025(),0.0005(****),0.0001(****),-0.0003(****),0.0007(****),0.0749(****),False,True,0.05893780587432795,159558
Model 116,--,--,--,-14.5919(),--,--,1.4327(),--,0.3658(****),0.0652(****),-0.1099(****),-0.0122(****),0.0047(),0.0004(****),0.0001(****),-0.0001(***),0.0002(***),0.0741(****),True,True,0.04589356511270626,159558
Model 117,--,--,--,-67.8088(****),--,--,--,1.0118(****),0.3620(****),0.1210(****),-0.1473(****),-0.0035(),0.0005(),0.0005(****),0.0001(****),-0.0002(****),0.0008(****),0.0888(****),False,False,0.08946413742645065,159558
