dependents:d2
,freshness_DIV,c2_DIV,d2_DIV,subject_DIV,variety,balance,disparsity,impact_diversity,teamsize,age_mean,age_std,pnum_mean,pnum_std,cn_mean,cn_std,rank_mean,rank_std,num_of_refs,journal fixed,Year fixed,R2,# of Smaples
Model 1,-0.1150(****),--,--,--,--,--,--,--,0.0000(),0.0001(**),-0.0002(**),0.0000(),0.0000(),-0.0000(),0.0000(*),0.0000(****),-0.0000(**),-0.0001(****),False,False,0.026390853080077603,160738
Model 2,-0.1132(****),--,--,--,--,--,--,--,0.0002(),0.0001(),-0.0001(),0.0000(*),0.0000(),-0.0000(),0.0000(),0.0000(**),-0.0000(*),-0.0001(****),True,False,0.025541984865828704,160738
Model 3,-0.1179(****),--,--,--,--,--,--,--,-0.0001(),0.0001(**),-0.0002(**),-0.0000(),0.0000(),0.0000(),0.0000(),0.0000(****),-0.0000(***),-0.0001(****),False,True,0.024629736307022254,160738
Model 4,-0.1160(****),--,--,--,--,--,--,--,0.0000(),0.0001(),-0.0001(),0.0000(),0.0000(),0.0000(),0.0000(),0.0000(),-0.0000(**),-0.0001(****),True,True,0.023446405944685833,160738
Model 5,--,-0.0633(****),--,--,--,--,--,--,-0.0003(),0.0001(*),-0.0001(*),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),0.0000(***),False,False,0.034923779554376866,160738
Model 6,--,-0.0597(****),--,--,--,--,--,--,-0.0001(),0.0000(),-0.0001(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(),-0.0000(),True,False,0.030975001856149098,160738
Model 7,--,-0.0607(****),--,--,--,--,--,--,-0.0002(),0.0001(*),-0.0001(*),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),0.0000(*),False,True,0.029991942759014623,160738
Model 8,--,-0.0571(****),--,--,--,--,--,--,-0.0001(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(*),-0.0000(),True,True,0.02612193608903124,160738
Model 9,--,--,-0.0200(****),--,--,--,--,--,-0.0011(****),0.0001(),-0.0003(****),-0.0001(****),0.0000(),-0.0000(),0.0000(*),0.0000(****),-0.0000(**),-0.0001(****),False,False,0.007976034983586788,160738
Model 10,--,--,-0.0263(****),--,--,--,--,--,-0.0007(**),0.0000(),-0.0002(*),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(**),-0.0002(****),True,False,0.010743034036624577,160738
Model 11,--,--,-0.0197(****),--,--,--,--,--,-0.0005(*),0.0002(****),-0.0002(**),-0.0001(***),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),-0.0001(****),False,True,0.006200110006066573,160738
Model 12,--,--,-0.0263(****),--,--,--,--,--,-0.0003(),0.0001(**),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(**),-0.0000(*),-0.0001(****),True,True,0.008743130124730047,160738
Model 13,--,--,--,-0.3739(****),--,--,--,--,-0.0006(**),0.0001(*),-0.0002(**),-0.0000(**),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(**),-0.0000(**),False,False,0.002435834159895567,159558
Model 14,--,--,--,-0.9215(****),--,--,--,--,-0.0003(),0.0000(),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(*),0.0000(),True,False,0.004847801130362539,159558
Model 15,--,--,--,-0.3212(****),--,--,--,--,-0.0003(),0.0001(***),-0.0001(*),-0.0000(*),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),-0.0000(**),False,True,0.001575976578170546,159558
