dependents:d2
,freshness_DIV,c2_DIV,d2_DIV,subject_DIV,variety,balance,disparsity,impact_diversity,teamsize,age_mean,age_std,pnum_mean,pnum_std,cn_mean,cn_std,rank_mean,rank_std,num_of_refs,journal fixed,Year fixed,R2,# of Smaples
Model 16,--,--,--,-0.8978(****),--,--,--,--,-0.0002(),0.0001(*),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(*),0.0000(**),True,True,0.0036923027285351573,159558
Model 17,--,--,--,--,-0.2054(****),--,--,--,-0.0007(**),0.0001(),-0.0002(***),-0.0001(***),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(**),0.0000(),False,False,0.005309040113205543,160738
Model 18,--,--,--,--,-0.3798(****),--,--,--,-0.0003(),0.0000(),-0.0001(*),-0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(*),-0.0000(*),0.0001(****),True,False,0.008742890380711743,160738
Model 19,--,--,--,--,-0.1735(****),--,--,--,-0.0003(),0.0001(***),-0.0002(**),-0.0000(**),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(**),0.0000(),False,True,0.0030778490034486516,160738
Model 20,--,--,--,--,-0.3640(****),--,--,--,-0.0001(),0.0001(*),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(*),0.0001(****),True,True,0.006232742497088051,160738
Model 21,--,--,--,--,--,-0.1580(****),--,--,-0.0008(**),0.0001(),-0.0002(***),-0.0001(***),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(****),-0.0001(****),False,False,0.016254819746545635,160738
Model 22,--,--,--,--,--,-0.2015(****),--,--,-0.0005(*),0.0000(),-0.0002(*),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(**),-0.0001(****),True,False,0.021878402379943873,160738
Model 23,--,--,--,--,--,-0.1518(****),--,--,-0.0003(),0.0001(***),-0.0002(**),-0.0000(**),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(***),-0.0000(****),False,True,0.013700598103837835,160738
Model 24,--,--,--,--,--,-0.1967(****),--,--,-0.0001(),0.0001(**),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(**),-0.0000(*),-0.0001(****),True,True,0.019167848799229392,160738
Model 25,--,--,--,--,--,--,-0.0116(),--,-0.0005(**),0.0001(),-0.0002(**),-0.0000(*),0.0000(),-0.0000(),0.0000(*),0.0000(****),-0.0000(**),-0.0001(****),False,False,0.001827010327706824,159558
Model 26,--,--,--,--,--,--,-0.0979(****),--,-0.0003(),0.0000(),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(**),-0.0000(*),-0.0001(****),True,False,0.002519154515552402,159558
Model 27,--,--,--,--,--,--,0.0183(),--,-0.0003(),0.0001(**),-0.0001(*),-0.0000(*),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(**),-0.0001(****),False,True,0.0011401893213626169,159558
Model 28,--,--,--,--,--,--,-0.0745(****),--,-0.0002(),0.0001(*),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(**),-0.0000(*),-0.0001(****),True,True,0.0012778019663255424,159558
Model 29,--,--,--,--,--,--,--,-0.0532(****),-0.0010(****),0.0001(**),-0.0002(***),-0.0000(**),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(****),-0.0001(****),False,False,0.012905904501421372,160738
Model 30,--,--,--,--,--,--,--,-0.0622(****),-0.0006(*),0.0001(*),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(**),-0.0000(**),-0.0001(****),True,False,0.015121873721363421,160738
Model 31,--,--,--,--,--,--,--,-0.0496(****),-0.0004(),0.0002(****),-0.0002(**),-0.0000(*),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(***),-0.0001(****),False,True,0.009865680302194368,160738
Model 32,--,--,--,--,--,--,--,-0.0577(****),-0.0002(),0.0001(***),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(**),-0.0000(**),-0.0001(****),True,True,0.011272608745338086,160738
Model 33,-0.0943(****),-0.0556(****),--,--,--,--,--,--,0.0003(),0.0001(****),-0.0001(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),0.0000(*),False,False,0.049943723849484534,160738
Model 34,-0.0945(****),-0.0521(****),--,--,--,--,--,--,0.0004(),0.0001(*),-0.0000(),0.0000(**),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(),-0.0000(),True,False,0.045909729903243046,160738
Model 35,-0.1005(****),-0.0537(****),--,--,--,--,--,--,-0.0000(),0.0001(*),-0.0001(*),-0.0000(),0.0000(),0.0000(),0.0000(),0.0000(***),-0.0000(**),-0.0000(***),False,True,0.04626519187285838,160738
Model 36,-0.1002(****),-0.0503(****),--,--,--,--,--,--,0.0001(),0.0000(),-0.0001(),0.0000(),0.0000(),0.0000(),0.0000(),0.0000(),-0.0000(*),-0.0000(****),True,True,0.04217266399950059,160738
Model 37,-0.1128(****),--,-0.0179(****),--,--,--,--,--,-0.0003(),0.0001(***),-0.0002(***),-0.0000(),0.0000(),-0.0000(),0.0000(*),0.0000(****),-0.0000(*),-0.0001(****),False,False,0.030060815936685636,160738
Model 38,-0.1091(****),--,-0.0232(****),--,--,--,--,--,-0.0000(),0.0001(),-0.0001(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(*),-0.0001(****),True,False,0.031125694608548526,160738
Model 39,-0.1146(****),--,-0.0164(****),--,--,--,--,--,-0.0002(),0.0001(***),-0.0002(**),-0.0000(*),0.0000(),0.0000(),0.0000(),0.0000(****),-0.0000(**),-0.0001(****),False,True,0.027721974969355467,160738
Model 40,-0.1105(****),--,-0.0220(****),--,--,--,--,--,-0.0001(),0.0001(*),-0.0001(),0.0000(),0.0000(),0.0000(),0.0000(),0.0000(),-0.0000(**),-0.0001(****),True,True,0.02849942873713096,160738
Model 41,-0.0791(****),--,--,-0.2986(****),--,--,--,--,-0.0000(),0.0001(***),-0.0001(*),0.0000(),0.0000(),-0.0000(),0.0000(*),0.0000(****),-0.0000(**),-0.0000(****),False,False,0.015734264183801305,159558
Model 42,-0.0771(****),--,--,-0.7986(****),--,--,--,--,0.0001(),0.0001(*),-0.0001(),0.0000(*),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(),0.0000(),True,False,0.01726978654552047,159558
Model 43,-0.0832(****),--,--,-0.2685(****),--,--,--,--,-0.0001(),0.0001(**),-0.0001(**),-0.0000(),0.0000(),0.0000(),0.0000(),0.0000(****),-0.0000(**),-0.0001(****),False,True,0.015491145367509063,159558
Model 44,-0.0811(****),--,--,-0.7875(****),--,--,--,--,-0.0000(),0.0001(*),-0.0001(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(*),-0.0000(),True,True,0.016722729006958925,159558
Model 45,-0.1130(****),--,--,--,-0.1471(****),--,--,--,0.0001(),0.0001(***),-0.0002(**),0.0000(),0.0000(),-0.0000(),0.0000(*),0.0000(****),-0.0000(**),-0.0000(),False,False,0.027376466267224786,160738
Model 46,-0.1085(****),--,--,--,-0.2997(****),--,--,--,0.0003(),0.0001(*),-0.0001(),0.0000(*),0.0000(),-0.0000(),0.0000(*),0.0000(*),-0.0000(*),0.0000(***),True,False,0.028760925832243545,160738
Model 47,-0.1167(****),--,--,--,-0.1386(****),--,--,--,-0.0001(),0.0001(**),-0.0002(**),-0.0000(),0.0000(),0.0000(),0.0000(),0.0000(****),-0.0000(***),-0.0000(****),False,True,0.025496128618771152,160738
Model 48,-0.1124(****),--,--,--,-0.3032(****),--,--,--,0.0001(),0.0001(*),-0.0001(),0.0000(),0.0000(),0.0000(),0.0000(),0.0000(),-0.0000(**),0.0000(),True,True,0.026747482455472205,160738
Model 49,-0.1050(****),--,--,--,--,-0.1309(****),--,--,-0.0000(),0.0001(***),-0.0002(**),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(***),-0.0001(****),False,False,0.0350508623332797,160738
Model 50,-0.0991(****),--,--,--,--,-0.1703(****),--,--,0.0001(),0.0001(*),-0.0001(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(*),-0.0001(****),True,False,0.03832750606469626,160738
Model 51,-0.1075(****),--,--,--,--,-0.1232(****),--,--,-0.0001(),0.0001(***),-0.0002(**),-0.0000(),0.0000(),0.0000(),0.0000(),0.0000(****),-0.0000(***),-0.0001(****),False,True,0.032343059915987626,160738
Model 52,-0.1011(****),--,--,--,--,-0.1638(****),--,--,0.0000(),0.0001(*),-0.0001(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(**),-0.0001(****),True,True,0.035365442552049764,160738
Model 53,-0.0800(****),--,--,--,--,--,0.0249(*),--,-0.0000(),0.0001(**),-0.0001(*),0.0000(),0.0000(),-0.0000(),0.0000(*),0.0000(****),-0.0000(**),-0.0001(****),False,False,0.015378359250705742,159558
Model 54,-0.0783(****),--,--,--,--,--,-0.0474(****),--,0.0001(),0.0001(*),-0.0001(),0.0000(*),0.0000(),-0.0000(),0.0000(*),0.0000(**),-0.0000(*),-0.0001(****),True,False,0.015276182238456726,159558
Model 55,-0.0839(****),--,--,--,--,--,0.0430(****),--,-0.0001(),0.0001(**),-0.0001(*),-0.0000(),0.0000(),0.0000(),0.0000(),0.0000(****),-0.0000(**),-0.0001(****),False,True,0.015280151494392324,159558
Model 56,-0.0824(****),--,--,--,--,--,-0.0330(**),--,-0.0000(),0.0001(),-0.0001(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(**),-0.0001(****),True,True,0.014711972599655065,159558
Model 57,-0.1064(****),--,--,--,--,--,--,-0.0419(****),-0.0002(),0.0002(****),-0.0002(**),0.0000(),0.0000(),-0.0000(),0.0000(*),0.0000(****),-0.0000(***),-0.0001(****),False,False,0.032178768887788145,160738
Model 58,-0.1030(****),--,--,--,--,--,--,-0.0502(****),0.0001(),0.0001(**),-0.0001(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(**),-0.0000(*),-0.0001(****),True,False,0.03294587670700322,160738
Model 59,-0.1091(****),--,--,--,--,--,--,-0.0367(****),-0.0002(),0.0002(****),-0.0002(**),-0.0000(),0.0000(),0.0000(),0.0000(),0.0000(****),-0.0000(****),-0.0001(****),False,True,0.028955670810004164,160738
Model 60,-0.1062(****),--,--,--,--,--,--,-0.0449(****),-0.0001(),0.0001(**),-0.0001(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(**),-0.0001(****),True,True,0.02923323348502549,160738
Model 61,--,-0.0610(****),-0.0088(****),--,--,--,--,--,-0.0005(*),0.0001(*),-0.0001(*),-0.0000(*),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),0.0000(**),False,False,0.035762789525825456,160738
Model 62,--,-0.0555(****),-0.0148(****),--,--,--,--,--,-0.0003(),0.0000(),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(),-0.0000(**),True,False,0.033139133344919025,160738
Model 63,--,-0.0582(****),-0.0087(****),--,--,--,--,--,-0.0003(),0.0001(**),-0.0001(*),-0.0000(*),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),0.0000(*),False,True,0.0308137483406834,160738
Model 64,--,-0.0526(****),-0.0151(****),--,--,--,--,--,-0.0002(),0.0001(),-0.0000(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(),-0.0000(),True,True,0.02837130015739886,160738
Model 65,--,-0.0490(****),--,0.0854(*),--,--,--,--,-0.0002(),0.0001(**),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),0.0000(*),False,False,0.024844404165960232,159558
Model 66,--,-0.0444(****),--,-0.4068(****),--,--,--,--,-0.0001(),0.0001(),-0.0000(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(),0.0000(****),True,False,0.022710708593137174,159558
Model 67,--,-0.0475(****),--,0.0843(*),--,--,--,--,-0.0002(),0.0001(*),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),0.0000(),False,True,0.022255863493518047,159558
Model 68,--,-0.0428(****),--,-0.4241(****),--,--,--,--,-0.0001(),0.0001(),-0.0000(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(),0.0000(****),True,True,0.02005554412724697,159558
Model 69,--,-0.0632(****),--,--,-0.0053(),--,--,--,-0.0003(),0.0001(*),-0.0001(*),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),0.0000(**),False,False,0.03492499062364329,160738
Model 70,--,-0.0567(****),--,--,-0.1655(****),--,--,--,-0.0001(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(),0.0001(****),True,False,0.031900977542326125,160738
Model 71,--,-0.0607(****),--,--,-0.0034(),--,--,--,-0.0002(),0.0001(*),-0.0001(*),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),0.0000(),False,True,0.02999243515797345,160738
Model 72,--,-0.0542(****),--,--,-0.1734(****),--,--,--,-0.0001(),0.0001(),-0.0001(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(),0.0001(****),True,True,0.027145264166814398,160738
Model 73,--,-0.0575(****),--,--,--,-0.1127(****),--,--,-0.0003(),0.0001(**),-0.0001(*),-0.0000(*),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(**),0.0001(****),False,False,0.041205649027848734,160738
Model 74,--,-0.0516(****),--,--,--,-0.1557(****),--,--,-0.0002(),0.0000(),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(),0.0000(),True,False,0.04143491170545888,160738
Model 75,--,-0.0551(****),--,--,--,-0.1102(****),--,--,-0.0002(),0.0001(**),-0.0001(*),-0.0000(*),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(**),0.0000(****),False,True,0.036063253319222444,160738
Model 76,--,-0.0490(****),--,--,--,-0.1540(****),--,--,-0.0001(),0.0001(),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(),0.0000(*),True,True,0.03648467157944124,160738
Model 77,--,-0.0501(****),--,--,--,--,0.1015(****),--,-0.0003(),0.0001(*),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),0.0000(*),False,False,0.025407964558718743,159558
Model 78,--,-0.0463(****),--,--,--,--,0.0191(),--,-0.0001(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(),-0.0000(),True,False,0.022205400679122245,159558
Model 79,--,-0.0484(****),--,--,--,--,0.1094(****),--,-0.0002(),0.0001(*),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),0.0000(),False,True,0.02290396894154023,159558
Model 80,--,-0.0448(****),--,--,--,--,0.0249(*),--,-0.0001(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(),-0.0000(),True,True,0.019511392445693998,159558
Model 81,--,-0.0583(****),--,--,--,--,--,-0.0307(****),-0.0005(*),0.0001(**),-0.0001(*),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(**),0.0000(****),False,False,0.03790390910301322,160738
Model 82,--,-0.0533(****),--,--,--,--,--,-0.0407(****),-0.0002(),0.0001(*),-0.0000(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(),-0.0000(),True,False,0.03564034495763868,160738
Model 83,--,-0.0561(****),--,--,--,--,--,-0.0291(****),-0.0003(),0.0001(**),-0.0001(*),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(**),0.0000(***),False,True,0.03263685793545046,160738
Model 84,--,-0.0515(****),--,--,--,--,--,-0.0385(****),-0.0002(),0.0001(*),-0.0000(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(*),-0.0000(),True,True,0.030248310091314567,160738
Model 85,--,--,-0.0126(****),-0.2964(****),--,--,--,--,-0.0007(***),0.0001(*),-0.0002(**),-0.0000(***),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),-0.0000(****),False,False,0.004743583393633233,159558
Model 86,--,--,-0.0173(****),-0.8381(****),--,--,--,--,-0.0005(*),0.0000(),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(),-0.0000(),True,False,0.008823800760839329,159558
Model 87,--,--,-0.0125(****),-0.2406(****),--,--,--,--,-0.0004(*),0.0001(***),-0.0001(**),-0.0000(**),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(),-0.0000(***),False,True,0.00386009203696569,159558
Model 88,--,--,-0.0174(****),-0.8106(****),--,--,--,--,-0.0002(),0.0001(**),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(),0.0000(),True,True,0.007729466291750864,159558
Model 89,--,--,-0.0187(****),--,-0.1682(****),--,--,--,-0.0010(****),0.0001(*),-0.0003(****),-0.0001(****),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),-0.0000(),False,False,0.00925299742633734,160738
Model 90,--,--,-0.0245(****),--,-0.3426(****),--,--,--,-0.0005(*),0.0000(),-0.0001(*),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(*),0.0000(***),True,False,0.014964057357486293,160738
Model 91,--,--,-0.0186(****),--,-0.1327(****),--,--,--,-0.0005(*),0.0002(****),-0.0002(**),-0.0001(***),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),-0.0000(),False,True,0.006980924392424925,160738
Model 92,--,--,-0.0244(****),--,-0.3223(****),--,--,--,-0.0002(),0.0001(**),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(*),0.0001(****),True,True,0.01246171902392157,160738
Model 93,--,--,-0.0180(****),--,--,-0.1528(****),--,--,-0.0010(****),0.0001(*),-0.0003(****),-0.0001(****),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(**),-0.0001(****),False,False,0.019969036620787195,160738
Model 94,--,--,-0.0228(****),--,--,-0.1920(****),--,--,-0.0007(**),0.0000(),-0.0002(*),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(*),-0.0001(****),True,False,0.02729200274666721,160738
Model 95,--,--,-0.0179(****),--,--,-0.1469(****),--,--,-0.0005(*),0.0002(****),-0.0002(**),-0.0001(***),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),-0.0000(****),False,True,0.01739033317000893,160738
Model 96,--,--,-0.0231(****),--,--,-0.1875(****),--,--,-0.0002(),0.0001(**),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(*),-0.0001(****),True,True,0.024744896552167606,160738
Model 97,--,--,-0.0131(****),--,--,--,0.0019(),--,-0.0007(***),0.0001(*),-0.0002(**),-0.0000(***),0.0000(),-0.0000(),0.0000(*),0.0000(****),-0.0000(*),-0.0001(****),False,False,0.0043606027810837444,159558
Model 98,--,--,-0.0180(****),--,--,--,-0.0816(****),--,-0.0005(*),0.0000(),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(*),-0.0001(****),True,False,0.006846047706367431,159558
Model 99,--,--,-0.0131(****),--,--,--,0.0339(**),--,-0.0004(*),0.0001(***),-0.0001(*),-0.0000(**),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(),-0.0001(****),False,True,0.0036740498734708638,159558
Model 100,--,--,-0.0182(****),--,--,--,-0.0553(****),--,-0.0002(),0.0001(*),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(*),-0.0001(****),True,True,0.005701484240560606,159558
Model 101,--,--,-0.0177(****),--,--,--,--,-0.0504(****),-0.0012(****),0.0001(**),-0.0002(***),-0.0001(****),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(***),-0.0001(****),False,False,0.016477465830622484,160738
Model 102,--,--,-0.0233(****),--,--,--,--,-0.0580(****),-0.0008(***),0.0001(*),-0.0001(*),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(*),-0.0001(****),True,False,0.020764139917907376,160738
Model 103,--,--,-0.0178(****),--,--,--,--,-0.0471(****),-0.0006(**),0.0002(****),-0.0002(**),-0.0000(**),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(**),-0.0001(****),False,True,0.01351638749127515,160738
Model 104,--,--,-0.0238(****),--,--,--,--,-0.0537(****),-0.0003(),0.0001(***),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(**),-0.0000(*),-0.0001(****),True,True,0.017176523004623467,160738
Model 105,--,--,--,0.0467(),-0.1237(****),--,--,--,-0.0005(*),0.0001(*),-0.0002(**),-0.0000(**),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),-0.0000(),False,False,0.002558755311950711,159558
Model 106,--,--,--,-0.4765(****),-0.1307(****),--,--,--,-0.0003(),0.0000(),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(*),0.0000(**),True,False,0.004979065900755253,159558
Model 107,--,--,--,-0.0267(),-0.0873(**),--,--,--,-0.0003(),0.0001(**),-0.0001(*),-0.0000(*),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),-0.0000(),False,True,0.0016349746589635616,159558
Model 108,--,--,--,-0.5031(****),-0.1164(****),--,--,--,-0.0001(),0.0001(*),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(*),0.0000(****),True,True,0.003794097452151979,159558
Model 109,--,--,--,0.5222(****),--,-0.1257(****),--,--,-0.0005(**),0.0001(),-0.0002(**),-0.0000(**),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(***),-0.0001(****),False,False,0.008691383964873789,159558
Model 110,--,--,--,0.0393(),--,-0.1376(****),--,--,-0.0004(),0.0000(),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(*),-0.0001(****),True,False,0.011889287144257299,159558
Model 111,--,--,--,0.5784(****),--,-0.1256(****),--,--,-0.0002(),0.0001(**),-0.0001(*),-0.0000(*),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(**),-0.0001(****),False,True,0.007855245071658357,159558
Model 112,--,--,--,0.0624(),--,-0.1371(****),--,--,-0.0002(),0.0001(*),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(*),-0.0001(****),True,True,0.01073276134806389,159558
Model 113,--,--,--,-0.4267(****),--,--,0.0354(**),--,-0.0006(**),0.0001(*),-0.0002(**),-0.0000(**),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(**),-0.0000(**),False,False,0.002498299906649959,159558
Model 114,--,--,--,-0.8884(****),--,--,-0.0270(*),--,-0.0003(),0.0000(),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(*),0.0000(),True,False,0.004881374351997314,159558
Model 115,--,--,--,-0.4108(****),--,--,0.0629(****),--,-0.0003(),0.0001(***),-0.0001(*),-0.0000(*),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),-0.0000(*),False,True,0.0017697303203323411,159558
Model 116,--,--,--,-0.8931(****),--,--,-0.0040(),--,-0.0002(),0.0001(*),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(*),-0.0000(*),0.0000(**),True,True,0.0036930408442811258,159558
Model 117,--,--,--,-0.0653(),--,--,--,-0.0285(****),-0.0007(**),0.0001(**),-0.0002(**),-0.0000(*),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(***),-0.0000(****),False,False,0.00540425471708994,159558
